JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     MAC,
 15757.000,   816.213,   309.370,     6.747,     0.001,     0.000,     0.000,     0.250,   133.810,  1569.300,     1.000,     0.000,     6.466,  -127.565,     0.000,   266.078,   338.184,    31.608,    23.851,     0.000,         0.000,
 15758.000,   630.745,   310.017,     6.637,     0.001,     0.000,     0.000,     0.250,   134.457,  1569.300,     1.000,     0.000,     6.396,  -152.479,     0.000,   253.580,   337.653,    40.445,    27.962,     0.000,         0.000,
 15759.000,   729.456,   310.326,     6.539,     0.003,     0.000,     0.000,     0.250,   134.766,  1569.300,     1.000,     0.000,     6.370,  -101.246,     0.000,   271.304,   337.180,    21.131,    14.240,     0.000,         0.000,
 15760.000,  1147.215,   310.622,     6.496,     0.002,     0.000,     0.000,     0.250,   135.062,  1585.300,     1.000,     0.000,     6.367,   -88.527,     0.000,   276.606,   336.968,    15.633,    12.532,     0.000,         0.000,
 15761.000,  2007.472,   310.995,     6.506,     0.001,     0.000,     0.000,     0.250,   135.435,  1585.300,     1.000,     0.000,     6.380,  -139.198,     0.000,   241.169,   337.038,    26.339,    16.990,     0.000,         0.000,
 15762.000,  2663.446,   311.358,     6.572,     0.000,     0.000,     0.000,     0.250,   135.798,  1585.300,     1.000,     0.000,     6.391,  -132.104,     0.000,   255.844,   337.354,    32.449,    18.146,     0.000,         0.000,
 15763.000,  1193.890,   311.659,     6.588,     0.000,     0.000,     0.000,     0.250,   136.099,  1585.300,     1.000,     0.000,     6.420,  -166.403,     0.000,   234.812,   337.414,    43.070,    20.730,     0.000,         0.000,
 15764.000,   483.684,   311.884,     6.618,     0.001,     0.000,     0.000,     0.250,   136.324,  1585.300,     1.000,     0.000,     6.436,  -172.912,     0.000,   238.467,   337.561,    57.226,    16.592,     0.000,         0.000,
 15765.000,   474.893,   312.074,     6.682,     0.001,     0.000,     0.000,     0.250,   136.514,  1601.600,     1.000,     0.000,     6.469,  -145.025,     0.000,   240.590,   337.863,    41.348,     6.404,     0.000,         0.000,
 15766.000,   428.573,   312.251,     6.858,     0.001,     0.000,     0.000,     0.250,   136.691,  1601.600,     1.000,     0.000,     6.461,  -120.090,     0.000,   246.645,   338.716,    25.584,     2.435,     0.000,         0.000,
 15767.000,   691.590,   312.396,     6.957,     0.001,     0.000,     0.000,     0.250,   136.836,  1601.600,     1.000,     0.000,     6.459,   -52.138,     0.000,   293.682,   339.532,     9.178,    -2.890,     0.000,         0.000,
 15768.000,   644.907,   312.535,     6.799,     0.001,     0.000,     0.000,     0.250,   136.975,  1601.600,     1.000,     0.000,     6.405,   -36.963,     0.000,   295.801,   339.271,     4.871,   -11.379,     0.000,         0.000,
 15769.000,   639.984,   312.698,     6.906,     0.001,     0.000,     0.000,     0.250,   137.138,  1601.600,     1.000,     0.000,     6.425,   -51.999,     0.000,   291.455,   339.260,    11.752,    -7.558,     0.000,         0.000,
 15770.000,   690.123,   312.886,     7.125,     0.000,     0.000,     0.000,     0.250,   137.326,  1601.600,     1.000,     0.000,     6.502,   -62.794,     0.000,   283.313,   340.014,    18.875,   -12.781,     0.000,         0.000,
 15771.000,   601.582,   313.095,     7.387,     0.000,     0.000,     0.000,     0.250,   137.535,  1601.600,     1.000,     0.000,     6.609,   -58.230,     0.000,   278.316,   341.295,    20.408,   -25.157,     0.000,         0.000,
 15772.000,   687.452,   313.332,     7.625,     0.000,     0.000,     0.000,     0.250,   137.772,  1601.600,     1.000,     0.000,     6.686,   -62.615,     0.000,   280.516,   342.453,    20.149,   -19.472,     0.000,         0.000,
 15773.000,   619.059,   313.579,     7.893,     0.000,     0.000,     0.000,     0.250,   138.019,  1621.700,     1.000,     0.000,     6.712,   -24.380,     0.000,   318.595,   344.022,    16.300,   -17.348,     0.000,         0.000,
 15774.000,   649.107,   313.844,     8.040,     0.000,     0.000,     0.000,     0.250,   138.284,  1621.700,     1.000,     0.000,     6.710,   -11.604,     0.000,   323.671,   344.535,     8.693,   -17.952,     0.000,         0.000,
 15775.000,   718.866,   314.146,     8.257,     0.000,     0.000,     0.000,     0.250,   138.586,  1621.700,     1.000,     0.000,     6.715,   -46.847,     0.000,   285.760,   346.287,     3.612,   -17.293,     0.000,         0.000,
 15776.000,   614.288,   314.489,     8.695,     0.000,     0.000,     0.000,     0.250,   138.929,  1621.700,     1.000,     0.000,     6.751,   -84.142,     0.000,   272.764,   347.820,    16.449,    -7.364,     0.000,         0.000,
 15777.000,   615.916,   314.852,     8.799,     0.000,     0.000,     0.000,     0.250,   139.292,  1621.700,     1.000,     0.000,     6.826,   -54.841,     0.000,   303.608,   348.190,    27.693,   -17.434,     0.000,         0.000,
 15778.000,   749.901,   315.207,     8.804,     0.000,     0.000,     0.000,     0.250,   139.647,  1643.600,     1.000,     0.000,     6.866,   -15.159,     0.000,   329.103,   349.018,    12.306,   -17.062,     0.000,         0.000,
 15779.000,   711.734,   315.582,     8.458,     0.000,     0.000,     0.000,     0.250,   140.022,  1643.600,     1.000,     0.000,     6.766,   -22.385,     0.000,   317.051,   349.293,     5.066,   -14.923,     0.000,         0.000,
 15780.000,   631.225,   316.034,     7.791,     0.001,     0.000,     0.000,     0.250,   140.474,  1643.600,     1.000,     0.000,     6.609,   -24.931,     0.000,   306.384,   346.774,     0.767,   -16.226,     0.000,         0.000,
 15781.000,   579.827,   316.639,     7.263,     0.001,     0.000,     0.000,     0.250,   141.079,  1667.500,     1.000,     0.000,     6.556,    -6.409,     0.000,   317.165,   343.635,    -4.795,   -15.266,     0.000,         0.000,
 15782.000,   298.031,   317.846,     7.443,     0.001,     0.000,     0.000,     0.250,   142.286,  1667.500,     1.000,     0.000,     6.639,     9.976,     0.000,   315.622,   342.778,   -15.542,   -21.590,     0.000,         0.000,
 15783.000,   463.422,   319.280,     7.633,     0.002,     0.000,     0.000,     0.250,   143.720,  1691.800,     1.000,     0.000,     6.716,     0.375,     0.000,   310.592,   342.861,   -11.549,   -21.095,     0.000,         0.000,
 15784.000,   726.682,   320.171,     8.485,     0.003,     0.000,     0.000,     0.250,   144.611,  1716.300,     1.000,     0.000,     7.014,   -45.491,     0.000,   299.075,   347.464,     8.182,   -11.080,     0.000,         0.000,
 15785.000,   903.161,   320.430,     8.501,     0.007,     0.000,     0.000,     0.250,   144.870,  1716.300,     1.000,     0.000,     6.996,   -38.409,     0.000,   304.499,   349.276,     8.277,   -14.644,     0.000,         0.000,
