JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     MAC,
 15784.000,   726.682,   320.171,     8.647,     0.003,     0.000,     0.000,     0.250,   144.611,  1716.300,     1.000,     0.000,     7.014,   -45.491,     0.000,   299.075,   347.464,     8.182,   -11.080,     0.000,         0.000,
 15785.000,   903.161,   320.430,     9.013,     0.006,     0.000,     0.000,     0.250,   144.870,  1716.300,     1.000,     0.000,     6.996,   -38.409,     0.000,   304.499,   349.276,     8.277,   -14.644,     0.000,         0.000,
 15786.000,    54.011,   320.131,     9.200,     0.010,     0.000,     0.000,     0.250,   144.571,  1716.300,     1.000,     0.000,     6.961,   -86.097,     0.000,   278.441,   350.192,    28.096,   -13.751,     0.000,         0.000,
 15787.000,  1274.915,   319.745,     9.486,     0.009,     0.000,     0.000,     0.250,   144.185,  1716.300,     1.000,     0.000,     6.917,   -47.672,     0.000,   308.539,   351.657,    20.124,   -15.570,     0.000,         0.000,
 15788.000,   728.972,   319.461,     9.002,     0.009,     0.000,     0.000,     0.250,   143.901,  1691.800,     1.000,     0.000,     6.809,    13.344,     0.000,   333.202,   349.241,    -2.051,   -27.333,     0.000,         0.000,
 15789.000,   642.270,   319.536,     8.148,     0.010,     0.000,     0.000,     0.250,   143.976,  1691.800,     1.000,     0.000,     6.786,   -50.484,     0.000,   294.023,   345.030,     4.655,    -5.178,     0.000,         0.000,
 15790.000,   750.717,   319.836,     8.744,     0.008,     0.000,     0.000,     0.250,   144.276,  1716.300,     1.000,     0.000,     6.993,  -109.987,     0.000,   266.985,   347.933,    24.962,     4.077,     0.000,         0.000,
 15791.000,   792.375,   319.569,     9.389,     0.011,     0.000,     0.000,     0.250,   144.009,  1716.300,     1.000,     0.000,     7.273,   -92.071,     0.000,   287.592,   351.141,    28.967,    -0.445,     0.000,         0.000,
 15792.000,   652.507,   319.120,     9.650,     0.012,     0.000,     0.000,     0.250,   143.560,  1691.800,     1.000,     0.000,     7.222,   -68.519,     0.000,   299.147,   352.430,    18.358,    -3.122,     0.000,         0.000,
 15816.000,  1742.714,   319.578,    11.777,     0.000,     0.000,     0.000,     0.250,   144.018,  1716.300,     1.000,     0.000,     7.582,   -87.162,     0.000,   314.637,   363.161,    42.118,    -3.480,     0.000,         0.000,
 15817.000,  1712.074,   319.804,    11.967,     0.000,     0.000,     0.000,     0.250,   144.244,  1716.300,     1.000,     0.000,     7.500,   -81.016,     0.000,   311.587,   364.145,    31.860,    -3.402,     0.000,         0.000,
 15818.000,  1695.532,   320.016,    11.710,     0.000,     0.000,     0.000,     0.250,   144.456,  1716.300,     1.000,     0.000,     7.378,  -108.781,     0.000,   294.201,   362.895,    42.786,    -2.699,     0.000,         0.000,
 15819.000,  1438.761,   320.253,    11.129,     0.000,     0.000,     0.000,     0.250,   144.693,  1716.300,     1.000,     0.000,     7.396,  -109.954,     0.000,   302.833,   359.898,    43.734,     9.156,     0.000,         0.000,
 15820.000,   848.775,   320.481,    10.787,     0.000,     0.000,     0.000,     0.250,   144.921,  1716.300,     1.000,     0.000,     7.437,   -92.219,     0.000,   297.745,   358.155,    23.903,     7.906,     0.000,         0.000,
 15821.000,  1529.989,   320.671,    10.867,     0.000,     0.000,     0.000,     0.250,   145.111,  1716.300,     1.000,     0.000,     7.448,   -54.470,     0.000,   321.077,   358.530,    22.092,    -5.075,     0.000,         0.000,
 15822.000,  1733.631,   320.852,    11.355,     0.000,     0.000,     0.000,     0.250,   145.292,  1716.300,     1.000,     0.000,     7.608,  -118.005,     0.000,   281.502,   361.031,    38.678,    -0.203,     0.000,         0.000,
 15823.000,  1245.890,   321.026,    12.150,     0.000,     0.000,     0.000,     0.250,   145.466,  1716.300,     1.000,     0.000,     7.721,  -146.052,     0.000,   282.322,   365.103,    67.080,    -3.808,     0.000,         0.000,
 15824.000,  1393.542,   321.139,    12.838,     0.000,     0.000,     0.000,     0.250,   145.579,  1741.000,     1.000,     0.000,     7.747,  -101.160,     0.000,   311.420,   368.644,    61.764,   -17.829,     0.000,         0.000,
 15825.000,   944.965,   321.245,    13.643,     0.008,     0.000,     0.000,     0.250,   145.685,  1741.000,     1.000,     0.000,     7.818,   -68.524,     0.000,   327.132,   372.765,    50.692,   -27.802,     0.000,         0.000,
 15826.000,  1374.667,   321.355,    14.303,     0.008,     0.000,     0.000,     0.250,   145.795,  1741.000,     1.000,     0.000,     7.902,  -108.575,     0.000,   318.999,   376.232,    70.001,   -18.659,     0.000,         0.000,
 15827.000,  1318.580,   321.447,    14.582,     0.008,     0.000,     0.000,     0.250,   145.887,  1741.000,     1.000,     0.000,     8.004,  -118.083,     0.000,   324.513,   377.703,    79.961,   -15.068,     0.000,         0.000,
 15828.000,   778.300,   321.502,    14.785,     0.009,     0.000,     0.000,     0.250,   145.942,  1741.000,     1.000,     0.000,     8.030,   -62.234,     0.000,   345.450,   378.732,    49.333,   -20.382,     0.000,         0.000,
 15829.000,   910.058,   321.639,    13.954,     0.007,     0.000,     0.000,     0.250,   146.079,  1741.000,     1.000,     0.000,     7.743,   -64.714,     0.000,   345.628,   376.374,    47.157,   -13.189,     0.000,         0.000,
 15830.000,  1192.811,   321.809,    12.716,     0.005,     0.000,     0.000,     0.250,   146.249,  1741.000,     1.000,     0.000,     7.642,  -166.280,     0.000,   270.810,   369.100,    56.903,    11.086,     0.000,         0.000,
 15831.000,   400.394,   321.949,    13.335,     0.005,     0.000,     0.000,     0.250,   146.389,  1741.000,     1.000,     0.000,     8.053,  -135.654,     0.000,   292.018,   371.158,    59.651,    -3.136,     0.000,         0.000,
 15832.000,  1076.715,   322.087,    13.932,     0.005,     0.000,     0.000,     0.250,   146.527,  1741.000,     1.000,     0.000,     7.916,   -75.611,     0.000,   326.295,   374.555,    36.620,    -9.270,     0.000,         0.000,
 15833.000,   831.374,   322.213,    13.671,     0.005,     0.000,     0.000,     0.250,   146.653,  1741.000,     1.000,     0.000,     7.812,  -167.098,     0.000,   279.983,   373.563,    67.401,     6.117,     0.000,         0.000,
 15834.000,  1009.830,   322.304,    14.122,     0.006,     0.000,     0.000,     0.250,   146.744,  1741.000,     1.000,     0.000,     8.078,  -170.999,     0.000,   280.589,   375.276,    68.216,     8.096,     0.000,         0.000,
 15835.000,  1015.840,   322.388,    14.902,     0.008,     0.000,     0.000,     0.250,   146.828,  1741.000,     1.000,     0.000,     8.106,  -150.320,     0.000,   297.804,   379.383,    71.375,    -2.634,     0.000,         0.000,
 15836.000,  1176.867,   322.447,    16.128,     0.008,     0.000,     0.000,     0.250,   146.887,  1741.000,     1.000,     0.000,     8.294,   -83.810,     0.000,   334.754,   385.941,    54.684,   -22.060,     0.000,         0.000,
 15837.000,  1016.749,   322.525,    15.881,     0.008,     0.000,     0.000,     0.250,   146.965,  1741.000,     1.000,     0.000,     8.211,  -142.040,     0.000,   317.785,   387.289,    83.881,   -11.346,     0.000,         0.000,
 15838.000,  1032.395,   322.594,    15.426,     0.008,     0.000,     0.000,     0.250,   147.034,  1765.900,     1.000,     0.000,     8.186,  -172.410,     0.000,   301.830,   384.895,    71.756,    17.589,     0.000,         0.000,
 15839.000,   693.629,   322.618,    16.017,     0.009,     0.000,     0.000,     0.250,   147.058,  1765.900,     1.000,     0.000,     8.160,  -217.624,     0.000,   277.838,   385.266,    86.034,    24.161,     0.000,         0.000,
 15840.000,  1178.898,   322.659,    16.351,     0.009,     0.000,     0.000,     0.250,   147.099,  1765.900,     1.000,     0.000,     8.241,  -199.229,     0.000,   289.369,   387.104,    89.023,    12.471,     0.000,         0.000,
 15841.000,  1116.595,   322.713,    16.533,     0.008,     0.000,     0.000,     0.250,   147.153,  1765.900,     1.000,     0.000,     8.359,  -146.176,     0.000,   315.797,   389.143,    71.292,     1.537,     0.000,         0.000,
 15842.000,  1117.365,   322.739,    16.955,     0.009,     0.000,     0.000,     0.250,   147.179,  1765.900,     1.000,     0.000,     8.288,  -131.667,     0.000,   327.850,   392.346,    72.162,    -4.991,     0.000,         0.000,
 15843.000,  1071.399,   322.786,    17.130,     0.009,     0.000,     0.000,     0.250,   147.226,  1765.900,     1.000,     0.000,     8.352,  -100.552,     0.000,   365.097,   393.891,    79.469,    -7.712,     0.000,         0.000,
 15844.000,  1067.012,   322.826,    17.452,     0.009,     0.000,     0.000,     0.250,   147.266,  1765.900,     1.000,     0.000,     8.426,   -91.167,     0.000,   365.177,   394.602,    72.132,   -10.390,     0.000,         0.000,
 15845.000,  1072.143,   322.858,    16.745,     0.008,     0.000,     0.000,     0.250,   147.298,  1765.900,     1.000,     0.000,     8.324,  -102.229,     0.000,   352.167,   393.190,    68.146,    -6.941,     0.000,         0.000,
