JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     MAC,
 14669.000,  3018.571,   298.929,     4.382,     0.000,     0.000,     0.000,     0.250,   123.369,  1465.700,     1.000,     0.000,     4.705,   -35.443,     0.000,   275.133,   331.227,     7.956,   -28.606,     0.000,         0.000,
 14670.000,  3600.000,   299.039,     4.198,     0.000,     0.000,     0.000,     0.250,   123.479,  1465.700,     1.000,     0.000,     4.641,    11.534,     0.000,   314.413,   332.394,    -0.761,   -28.754,     0.000,         0.000,
 14671.000,  3600.000,   299.188,     4.202,     0.000,     0.000,     0.000,     0.250,   123.628,  1465.700,     1.000,     0.000,     4.474,    14.945,     0.000,   314.401,   333.101,   -10.826,   -22.818,     0.000,         0.000,
 14672.000,   814.435,   299.451,     4.244,     0.000,     0.000,     0.000,     0.250,   123.891,  1465.700,     1.000,     0.000,     4.484,     2.798,     0.000,   298.110,   330.810,   -14.212,   -21.286,     0.000,         0.000,
 14673.000,  2078.815,   299.833,     4.287,     0.000,     0.000,     0.000,     0.250,   124.273,  1465.700,     1.000,     0.000,     4.486,   -20.398,     0.000,   290.337,   330.435,    -4.160,   -15.540,     0.000,         0.000,
 14674.000,  1519.338,   300.165,     4.276,     0.000,     0.000,     0.000,     0.250,   124.605,  1476.900,     1.000,     0.000,     4.434,   -79.197,     0.000,   258.556,   329.559,     9.875,    -1.680,     0.000,         0.000,
 14675.000,  1617.916,   300.433,     4.244,     0.000,     0.000,     0.000,     0.250,   124.873,  1476.900,     1.000,     0.000,     4.565,   -68.552,     0.000,   268.070,   331.466,    20.758,   -15.603,     0.000,         0.000,
 14676.000,   640.129,   300.656,     4.189,     0.000,     0.000,     0.000,     0.250,   125.096,  1476.900,     1.000,     0.000,     4.622,   -29.318,     0.000,   295.699,   331.838,    13.046,   -19.867,     0.000,         0.000,
 14677.000,  3544.750,   300.853,     4.152,     0.000,     0.000,     0.000,     0.250,   125.293,  1476.900,     1.000,     0.000,     4.555,   -38.978,     0.000,   288.775,   332.255,     7.841,   -12.343,     0.000,         0.000,
 14678.000,  1114.267,   301.030,     4.137,     0.000,     0.000,     0.000,     0.250,   125.470,  1476.900,     1.000,     0.000,     4.452,  -106.451,     0.000,   248.320,   332.287,    25.592,    -3.109,     0.000,         0.000,
