JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     MAC,
 20128.000,  1512.250,   333.187,     8.572,     0.003,     0.000,     0.000,     0.250,   157.627,  1947.200,     1.000,     0.000,     9.484,  -161.067,     0.000,   254.027,   353.518,    44.286,    17.291,     0.000,         0.000,
 20129.000,  1214.814,   333.412,     8.558,     0.003,     0.000,     0.000,     0.250,   157.852,  1947.200,     1.000,     0.000,     9.468,  -132.485,     0.000,   281.979,   353.334,    44.313,    16.816,     0.000,         0.000,
 20130.000,   984.414,   333.206,     8.554,     0.003,     0.000,     0.000,     0.250,   157.646,  1947.200,     1.000,     0.000,     9.455,  -143.255,     0.000,   265.773,   353.197,    45.405,    10.425,     0.000,         0.000,
 20131.000,  1130.736,   333.271,     8.490,     0.002,     0.000,     0.000,     0.250,   157.711,  1947.200,     1.000,     0.000,     9.445,  -148.539,     0.000,   262.547,   353.476,    55.262,     2.349,     0.000,         0.000,
 20132.000,   954.293,   333.586,     8.539,     0.002,     0.000,     0.000,     0.250,   158.026,  1947.200,     1.000,     0.000,     9.433,  -128.059,     0.000,   268.378,   353.526,    38.252,     4.660,     0.000,         0.000,
 20133.000,  1207.534,   333.587,     8.568,     0.003,     0.000,     0.000,     0.250,   158.027,  1947.200,     1.000,     0.000,     9.385,   -75.507,     0.000,   301.549,   352.978,    18.938,     5.140,     0.000,         0.000,
 20134.000,  1167.333,   333.573,     8.558,     0.003,     0.000,     0.000,     0.250,   158.013,  1947.200,     1.000,     0.000,     9.382,   -90.492,     0.000,   292.613,   352.747,    19.494,    10.865,     0.000,         0.000,
 20135.000,  1915.468,   333.750,     8.565,     0.003,     0.000,     0.000,     0.250,   158.190,  1947.200,     1.000,     0.000,     9.363,  -109.306,     0.000,   281.865,   352.617,    26.393,    12.161,     0.000,         0.000,
 20136.000,  1062.249,   333.815,     8.584,     0.003,     0.000,     0.000,     0.250,   158.255,  1947.200,     1.000,     0.000,     9.360,  -102.071,     0.000,   286.884,   352.618,    32.336,     4.002,     0.000,         0.000,
 20137.000,  1790.217,   333.899,     8.560,     0.003,     0.000,     0.000,     0.250,   158.339,  1947.200,     1.000,     0.000,     9.344,  -103.189,     0.000,   286.396,   352.724,    36.329,     0.531,     0.000,         0.000,
 20138.000,   954.013,   334.123,     8.600,     0.003,     0.000,     0.000,     0.250,   158.563,  1947.200,     1.000,     0.000,     9.342,   -96.467,     0.000,   292.086,   352.767,    37.518,    -1.732,     0.000,         0.000,
 20139.000,  1041.553,   334.097,     8.632,     0.003,     0.000,     0.000,     0.250,   158.537,  1947.200,     1.000,     0.000,     9.332,   -84.011,     0.000,   292.585,   352.709,    16.560,     7.328,     0.000,         0.000,
 20140.000,  1018.263,   334.359,     8.612,     0.003,     0.000,     0.000,     0.250,   158.799,  1947.200,     1.000,     0.000,     9.307,   -77.462,     0.000,   298.418,   352.505,    19.031,     4.343,     0.000,         0.000,
 20141.000,  1209.626,   334.348,     8.597,     0.002,     0.000,     0.000,     0.250,   158.788,  1947.200,     1.000,     0.000,     9.305,   -94.018,     0.000,   293.040,   352.342,    24.441,    10.275,     0.000,         0.000,
 20142.000,  1800.218,   334.643,     8.579,     0.003,     0.000,     0.000,     0.250,   159.083,  1974.100,     1.000,     0.000,     9.288,  -112.257,     0.000,   275.724,   352.564,    34.481,     0.935,     0.000,         0.000,
 20143.000,  1141.360,   334.653,     8.632,     0.003,     0.000,     0.000,     0.250,   159.093,  1974.100,     1.000,     0.000,     9.318,  -113.661,     0.000,   271.175,   353.405,    37.097,    -5.666,     0.000,         0.000,
 20144.000,   763.344,   334.745,     8.551,     0.002,     0.000,     0.000,     0.250,   159.185,  1974.100,     1.000,     0.000,     9.301,  -124.271,     0.000,   266.059,   353.905,    37.115,    -0.691,     0.000,         0.000,
 20145.000,  1117.611,   335.079,     8.589,     0.003,     0.000,     0.000,     0.250,   159.519,  1974.100,     1.000,     0.000,     9.287,  -102.489,     0.000,   276.572,   354.376,    26.673,    -1.988,     0.000,         0.000,
 20146.000,  1052.942,   335.084,     8.629,     0.003,     0.000,     0.000,     0.250,   159.524,  1974.100,     1.000,     0.000,     9.284,   -83.081,     0.000,   291.811,   354.365,    21.254,    -0.727,     0.000,         0.000,
 20147.000,   988.759,   335.007,     8.625,     0.003,     0.000,     0.000,     0.250,   159.447,  1974.100,     1.000,     0.000,     9.276,   -69.369,     0.000,   306.626,   353.985,    20.877,     1.132,     0.000,         0.000,
 20148.000,   801.193,   335.216,     8.617,     0.003,     0.000,     0.000,     0.250,   159.656,  1974.100,     1.000,     0.000,     9.258,  -101.634,     0.000,   291.191,   353.411,    26.652,    12.762,     0.000,         0.000,
 20149.000,  1427.374,   335.689,     8.604,     0.002,     0.000,     0.000,     0.250,   160.129,  1974.100,     1.000,     0.000,     9.237,  -119.316,     0.000,   279.035,   352.704,    31.174,    14.473,     0.000,         0.000,
