JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     MAC,
 16854.000,   829.103,   319.641,     7.063,     0.011,     0.000,     0.000,     0.250,   144.081,  1716.300,     1.000,     0.000,     5.712,  -141.410,     0.000,   249.339,   339.708,    30.732,    20.309,     0.000,         0.000,
 16855.000,   872.747,   320.191,     7.089,     0.004,     0.000,     0.000,     0.250,   144.631,  1716.300,     1.000,     0.000,     5.820,  -146.962,     0.000,   250.765,   339.836,    39.972,    17.920,     0.000,         0.000,
 16856.000,  1231.874,   319.813,     7.127,     0.018,     0.000,     0.000,     0.250,   144.253,  1716.300,     1.000,     0.000,     5.715,  -133.698,     0.000,   260.898,   340.018,    31.197,    23.381,     0.000,         0.000,
 16857.000,  1145.287,   319.238,     7.145,     0.021,     0.000,     0.000,     0.250,   143.678,  1691.800,     1.000,     0.000,     5.703,  -167.381,     0.000,   240.255,   340.106,    41.135,    26.396,     0.000,         0.000,
 16897.000,  1601.621,   319.389,    11.570,     0.000,     0.000,     0.000,     0.250,   143.829,  1691.800,     1.000,     0.000,     6.614,   -95.210,     0.000,   309.579,   362.106,    58.799,   -16.116,     0.000,         0.000,
 16898.000,  1496.761,   319.561,    12.024,     0.000,     0.000,     0.000,     0.250,   144.001,  1716.300,     1.000,     0.000,     6.736,   -57.549,     0.000,   332.257,   364.454,    44.536,   -19.185,     0.000,         0.000,
 16899.000,  1650.679,   319.711,    12.807,     0.000,     0.000,     0.000,     0.250,   144.151,  1716.300,     1.000,     0.000,     6.682,   -63.151,     0.000,   318.232,   368.463,    38.223,   -25.303,     0.000,         0.000,
 16900.000,  1141.362,   319.851,    13.461,     0.000,     0.000,     0.000,     0.250,   144.291,  1716.300,     1.000,     0.000,     6.671,   -38.768,     0.000,   343.516,   371.853,    29.449,   -19.017,     0.000,         0.000,
 16901.000,  1520.413,   319.995,    13.182,     0.000,     0.000,     0.000,     0.250,   144.435,  1716.300,     1.000,     0.000,     6.721,   -85.405,     0.000,   309.467,   370.438,    31.565,    -7.131,     0.000,         0.000,
 16902.000,  1102.490,   320.146,    12.667,     0.000,     0.000,     0.000,     0.250,   144.586,  1716.300,     1.000,     0.000,     6.709,  -142.299,     0.000,   276.921,   367.754,    40.961,    10.505,     0.000,         0.000,
 16903.000,  1621.625,   320.274,    12.223,     0.000,     0.000,     0.000,     0.250,   144.714,  1716.300,     1.000,     0.000,     6.638,  -141.885,     0.000,   280.304,   365.550,    47.805,     8.834,     0.000,         0.000,
 16904.000,  1716.534,   320.393,    11.821,     0.000,     0.000,     0.000,     0.250,   144.833,  1716.300,     1.000,     0.000,     6.487,  -138.596,     0.000,   287.474,   363.439,    56.355,     6.277,     0.000,         0.000,
 16905.000,  1248.816,   320.514,    11.343,     0.000,     0.000,     0.000,     0.250,   144.954,  1716.300,     1.000,     0.000,     6.672,  -171.569,     0.000,   262.640,   360.958,    62.937,    10.313,     0.000,         0.000,
 16906.000,  1095.005,   320.636,    12.037,     0.000,     0.000,     0.000,     0.250,   145.076,  1716.300,     1.000,     0.000,     6.992,  -101.179,     0.000,   314.037,   364.473,    52.560,    -1.818,     0.000,         0.000,
 16907.000,  1040.311,   320.789,    12.571,     0.000,     0.000,     0.000,     0.250,   145.229,  1716.300,     1.000,     0.000,     6.909,   -65.934,     0.000,   337.827,   367.213,    44.568,    -8.021,     0.000,         0.000,
 16908.000,  1407.357,   320.957,    12.631,     0.000,     0.000,     0.000,     0.250,   145.397,  1716.300,     1.000,     0.000,     6.854,  -133.896,     0.000,   304.113,   367.562,    52.238,    18.209,     0.000,         0.000,
 16909.000,  1590.154,   321.120,    12.163,     0.000,     0.000,     0.000,     0.250,   145.560,  1741.000,     1.000,     0.000,     6.865,  -178.437,     0.000,   264.122,   365.131,    50.935,    26.493,     0.000,         0.000,
 16910.000,   705.249,   321.267,    12.018,     0.004,     0.000,     0.000,     0.250,   145.707,  1741.000,     1.000,     0.000,     6.727,  -186.937,     0.000,   256.770,   364.390,    48.249,    31.068,     0.000,         0.000,
 16911.000,  1687.097,   321.426,    11.957,     0.004,     0.000,     0.000,     0.250,   145.866,  1741.000,     1.000,     0.000,     6.652,  -162.790,     0.000,   274.016,   364.100,    48.400,    24.307,     0.000,         0.000,
 16912.000,  1046.458,   321.593,    11.948,     0.004,     0.000,     0.000,     0.250,   146.033,  1741.000,     1.000,     0.000,     6.917,  -183.555,     0.000,   259.940,   364.034,    48.391,    31.070,     0.000,         0.000,
 16913.000,  1552.562,   321.762,    12.047,     0.003,     0.000,     0.000,     0.250,   146.202,  1741.000,     1.000,     0.000,     6.999,  -165.785,     0.000,   273.936,   364.566,    52.656,    22.499,     0.000,         0.000,
 16914.000,  1631.954,   321.924,    12.053,     0.003,     0.000,     0.000,     0.250,   146.364,  1741.000,     1.000,     0.000,     6.902,   -91.101,     0.000,   312.823,   364.569,    33.138,     6.217,     0.000,         0.000,
 16915.000,  1414.372,   322.074,    12.065,     0.004,     0.000,     0.000,     0.250,   146.514,  1741.000,     1.000,     0.000,     6.793,   -37.090,     0.000,   343.826,   364.706,    30.062,   -13.852,     0.000,         0.000,
 16916.000,  1568.690,   322.262,    11.706,     0.003,     0.000,     0.000,     0.250,   146.702,  1741.000,     1.000,     0.000,     6.791,    -7.785,     0.000,   345.660,   363.699,    11.792,   -22.047,     0.000,         0.000,
 16917.000,  1469.791,   322.469,    11.534,     0.003,     0.000,     0.000,     0.250,   146.909,  1741.000,     1.000,     0.000,     6.795,   -79.113,     0.000,   312.090,   362.881,    35.861,    -7.540,     0.000,         0.000,
 16918.000,   877.516,   322.636,    12.661,     0.004,     0.000,     0.000,     0.250,   147.076,  1765.900,     1.000,     0.000,     6.990,   -79.817,     0.000,   311.333,   368.777,    40.338,   -17.965,     0.000,         0.000,
 16919.000,  1344.631,   322.772,    13.517,     0.005,     0.000,     0.000,     0.250,   147.212,  1765.900,     1.000,     0.000,     7.045,  -153.918,     0.000,   295.157,   372.141,    84.054,    -7.120,     0.000,         0.000,
 16920.000,   844.936,   322.884,    13.759,     0.005,     0.000,     0.000,     0.250,   147.324,  1765.900,     1.000,     0.000,     7.311,  -180.432,     0.000,   301.443,   373.371,   112.093,    -3.589,     0.000,         0.000,
 16921.000,  1248.158,   322.981,    13.754,     0.006,     0.000,     0.000,     0.250,   147.421,  1765.900,     1.000,     0.000,     7.369,  -111.329,     0.000,   330.787,   373.360,    81.728,   -12.972,     0.000,         0.000,
 16922.000,  1267.222,   323.073,    14.260,     0.006,     0.000,     0.000,     0.250,   147.513,  1765.900,     1.000,     0.000,     7.240,   -63.376,     0.000,   336.802,   376.126,    52.134,   -28.081,     0.000,         0.000,
 16923.000,  1304.486,   323.165,    14.771,     0.006,     0.000,     0.000,     0.250,   147.605,  1765.900,     1.000,     0.000,     7.177,   -74.470,     0.000,   333.102,   380.188,    51.736,   -24.352,     0.000,         0.000,
 16924.000,   917.336,   323.217,    14.150,     0.007,     0.000,     0.000,     0.250,   147.657,  1765.900,     1.000,     0.000,     7.143,  -104.717,     0.000,   324.933,   380.612,    65.447,   -16.410,     0.000,         0.000,
 16925.000,  1338.601,   323.262,    13.585,     0.006,     0.000,     0.000,     0.250,   147.702,  1765.900,     1.000,     0.000,     7.177,  -166.990,     0.000,   289.239,   375.779,    77.693,     2.757,     0.000,         0.000,
 16926.000,  1366.233,   323.332,    13.904,     0.005,     0.000,     0.000,     0.250,   147.772,  1765.900,     1.000,     0.000,     7.284,  -178.004,     0.000,   283.360,   375.839,    79.129,     6.396,     0.000,         0.000,
 16927.000,   606.664,   323.399,    13.942,     0.005,     0.000,     0.000,     0.250,   147.839,  1765.900,     1.000,     0.000,     7.266,  -152.012,     0.000,   294.612,   376.927,    69.944,    -0.248,     0.000,         0.000,
 16928.000,   842.753,   323.459,    14.689,     0.005,     0.000,     0.000,     0.250,   147.899,  1765.900,     1.000,     0.000,     7.414,  -138.572,     0.000,   313.871,   378.764,    71.546,     2.133,     0.000,         0.000,
 16929.000,  1262.999,   323.514,    15.125,     0.006,     0.000,     0.000,     0.250,   147.954,  1765.900,     1.000,     0.000,     7.450,  -138.332,     0.000,   311.879,   380.969,    71.365,    -2.123,     0.000,         0.000,
 16930.000,  1232.558,   323.569,    15.040,     0.005,     0.000,     0.000,     0.250,   148.009,  1765.900,     1.000,     0.000,     7.258,  -156.241,     0.000,   299.257,   382.470,    73.960,    -0.932,     0.000,         0.000,
 16931.000,   756.127,   323.622,    15.068,     0.005,     0.000,     0.000,     0.250,   148.062,  1765.900,     1.000,     0.000,     7.400,  -169.033,     0.000,   295.650,   383.966,    77.807,     2.910,     0.000,         0.000,
 16932.000,   845.034,   323.654,    15.365,     0.006,     0.000,     0.000,     0.250,   148.094,  1765.900,     1.000,     0.000,     7.455,  -159.562,     0.000,   302.979,   386.301,    76.612,    -0.371,     0.000,         0.000,
 16933.000,  1129.238,   323.664,    16.004,     0.007,     0.000,     0.000,     0.250,   148.104,  1765.900,     1.000,     0.000,     7.604,  -126.206,     0.000,   325.279,   389.143,    72.918,   -10.576,     0.000,         0.000,
 16934.000,  1076.204,   323.658,    17.253,     0.008,     0.000,     0.000,     0.250,   148.098,  1765.900,     1.000,     0.000,     7.641,   -80.490,     0.000,   362.038,   393.843,    75.123,   -26.438,     0.000,         0.000,
 16935.000,   249.994,   323.648,    16.227,     0.007,     0.000,     0.000,     0.250,   148.088,  1765.900,     1.000,     0.000,     7.515,   -74.349,     0.000,   375.733,   395.605,    76.815,   -22.338,     0.000,         0.000,
 16936.000,  1095.551,   323.627,    15.367,     0.007,     0.000,     0.000,     0.250,   148.067,  1765.900,     1.000,     0.000,     7.512,   -52.584,     0.000,   378.835,   390.730,    57.907,   -17.219,     0.000,         0.000,
 16937.000,  1175.579,   323.591,    14.761,     0.007,     0.000,     0.000,     0.250,   148.031,  1765.900,     1.000,     0.000,     7.519,   -83.565,     0.000,   351.229,   385.286,    50.326,    -0.818,     0.000,         0.000,
 16938.000,  1035.363,   323.656,    16.364,     0.008,     0.000,     0.000,     0.250,   148.096,  1765.900,     1.000,     0.000,     7.571,  -118.384,     0.000,   327.997,   387.107,    43.262,    16.012,     0.000,         0.000,
 16939.000,   346.999,   324.021,    16.322,     0.007,     0.000,     0.000,     0.250,   148.461,  1765.900,     1.000,     0.000,     7.454,  -159.170,     0.000,   325.702,   386.972,    69.594,    28.306,     0.000,         0.000,
 16940.000,   702.099,   324.635,    15.714,     0.005,     0.000,     0.000,     0.250,   149.075,  1791.100,     1.000,     0.000,     7.708,  -169.850,     0.000,   309.634,   384.115,    66.712,    28.658,     0.000,         0.000,
 16941.000,   818.388,   325.159,    15.925,     0.005,     0.000,     0.000,     0.250,   149.599,  1791.100,     1.000,     0.000,     7.704,  -194.295,     0.000,   275.979,   384.933,    60.894,    24.448,     0.000,         0.000,
 16942.000,    85.311,   325.300,    15.888,     0.010,     0.000,     0.000,     0.250,   149.740,  1791.100,     1.000,     0.000,     7.646,  -194.792,     0.000,   283.847,   387.562,    76.143,    14.933,     0.000,         0.000,
 16943.000,   839.819,   325.395,    14.680,     0.009,     0.000,     0.000,     0.250,   149.835,  1791.100,     1.000,     0.000,     7.671,  -156.476,     0.000,   319.047,   387.980,    75.038,    12.505,     0.000,         0.000,
 16944.000,  1162.952,   325.465,    14.431,     0.010,     0.000,     0.000,     0.250,   149.905,  1791.100,     1.000,     0.000,     7.799,  -170.767,     0.000,   298.026,   385.367,    60.577,    22.849,     0.000,         0.000,
 16945.000,  1035.271,   325.446,    16.225,     0.013,     0.000,     0.000,     0.250,   149.886,  1791.100,     1.000,     0.000,     7.718,  -246.214,     0.000,   281.627,   387.879,   118.507,    21.456,     0.000,         0.000,
 16946.000,  1005.707,   325.442,    16.919,     0.012,     0.000,     0.000,     0.250,   149.882,  1791.100,     1.000,     0.000,     7.863,  -248.781,     0.000,   287.694,   390.117,   125.917,    20.441,     0.000,         0.000,
 16947.000,   995.539,   325.459,    17.221,     0.011,     0.000,     0.000,     0.250,   149.899,  1791.100,     1.000,     0.000,     7.960,  -177.848,     0.000,   312.312,   391.733,   101.719,    -3.293,     0.000,         0.000,
 16948.000,  1019.621,   325.438,    17.425,     0.011,     0.000,     0.000,     0.250,   149.878,  1791.100,     1.000,     0.000,     7.917,  -125.660,     0.000,   325.773,   395.183,    64.827,    -8.576,     0.000,         0.000,
 16949.000,   969.177,   325.447,    17.313,     0.008,     0.000,     0.000,     0.250,   149.887,  1791.100,     1.000,     0.000,     7.902,  -125.831,     0.000,   340.946,   397.906,    63.994,     4.877,     0.000,         0.000,
 16950.000,   949.974,   325.493,    17.241,     0.007,     0.000,     0.000,     0.250,   149.933,  1791.100,     1.000,     0.000,     8.014,  -201.208,     0.000,   316.358,   398.392,   109.741,     9.433,     0.000,         0.000,
