JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     MAC,
 22763.000,  1330.453,   323.726,     7.703,     0.000,     0.000,     0.000,     0.250,   148.166,  1765.900,     1.000,     0.000,     8.194,  -192.203,     0.000,   267.025,   370.008,    71.976,    17.244,     0.000,         0.000,
 22764.000,  1385.944,   323.844,     7.671,     0.000,     0.000,     0.000,     0.250,   148.284,  1765.900,     1.000,     0.000,     8.324,  -138.327,     0.000,   295.907,   372.162,    63.554,    -1.482,     0.000,         0.000,
 22765.000,  1284.995,   323.960,     7.664,     0.000,     0.000,     0.000,     0.250,   148.400,  1765.900,     1.000,     0.000,     8.409,  -111.523,     0.000,   316.217,   377.374,    70.020,   -19.653,     0.000,         0.000,
 22766.000,  1043.419,   324.065,     7.672,     0.000,     0.000,     0.000,     0.250,   148.505,  1791.100,     1.000,     0.000,     8.391,   -35.225,     0.000,   378.438,   379.667,    55.907,   -21.911,     0.000,         0.000,
 22767.000,  1309.855,   324.149,     7.686,     0.000,     0.000,     0.000,     0.250,   148.589,  1791.100,     1.000,     0.000,     8.403,  -153.712,     0.000,   296.076,   379.241,    71.812,    -1.264,     0.000,         0.000,
 22768.000,  1352.387,   324.226,     7.725,     0.000,     0.000,     0.000,     0.250,   148.666,  1791.100,     1.000,     0.000,     8.479,  -172.303,     0.000,   293.443,   379.982,    78.140,     7.624,     0.000,         0.000,
 22769.000,  1013.734,   324.305,     7.751,     0.000,     0.000,     0.000,     0.250,   148.745,  1791.100,     1.000,     0.000,     8.416,  -133.912,     0.000,   327.898,   378.237,    73.936,     9.636,     0.000,         0.000,
 22770.000,  1344.732,   324.376,     7.674,     0.000,     0.000,     0.000,     0.250,   148.816,  1791.100,     1.000,     0.000,     8.353,  -144.426,     0.000,   297.049,   376.064,    52.922,    12.489,     0.000,         0.000,
 22771.000,  1377.168,   324.436,     7.656,     0.000,     0.000,     0.000,     0.250,   148.876,  1791.100,     1.000,     0.000,     8.472,  -211.159,     0.000,   274.317,   377.414,    92.113,    15.949,     0.000,         0.000,
 22772.000,  1235.746,   324.502,     7.662,     0.000,     0.000,     0.000,     0.250,   148.942,  1791.100,     1.000,     0.000,     8.590,  -194.026,     0.000,   298.376,   380.514,   112.247,    -0.360,     0.000,         0.000,
