STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
SHD,H,25,TEMP W,19900904 1300,19900904 1300,---,,DEG F
SHD,H,25,TEMP W,19900904 1400,19900904 1400,---,,DEG F
SHD,H,25,TEMP W,19900904 1500,19900904 1500,---,,DEG F
SHD,H,25,TEMP W,19900904 1600,19900904 1600,---,,DEG F
SHD,H,25,TEMP W,19900904 1700,19900904 1700,---,,DEG F
SHD,H,25,TEMP W,19900904 1800,19900904 1800,---,,DEG F
SHD,H,25,TEMP W,19900904 1900,19900904 1900,---,,DEG F
SHD,H,25,TEMP W,19900904 2000,19900904 2000,---,,DEG F
SHD,H,25,TEMP W,19900904 2100,19900904 2100,---,,DEG F
SHD,H,25,TEMP W,19900904 2200,19900904 2200,---,,DEG F
SHD,H,25,TEMP W,19900904 2300,19900904 2300,---,,DEG F
SHD,H,25,TEMP W,19900905 0000,19900905 0000,---,,DEG F
SHD,H,25,TEMP W,19900905 0100,19900905 0100,---,,DEG F
SHD,H,25,TEMP W,19900905 0200,19900905 0200,---,,DEG F
SHD,H,25,TEMP W,19900905 0300,19900905 0300,---,,DEG F
SHD,H,25,TEMP W,19900905 0400,19900905 0400,---,,DEG F
SHD,H,25,TEMP W,19900905 0500,19900905 0500,---,,DEG F
SHD,H,25,TEMP W,19900905 0600,19900905 0600,---,,DEG F
SHD,H,25,TEMP W,19900905 0700,19900905 0700,---,,DEG F
SHD,H,25,TEMP W,19900905 0800,19900905 0800,---,,DEG F
SHD,H,25,TEMP W,19900905 0900,19900905 0900,---,,DEG F
SHD,H,25,TEMP W,19900905 1000,19900905 1000,---,,DEG F
SHD,H,25,TEMP W,19900905 1100,19900905 1100,---,,DEG F
SHD,H,25,TEMP W,19900905 1200,19900905 1200,---,,DEG F
SHD,H,25,TEMP W,19900905 1300,19900905 1300,---,,DEG F
