"date","storage (MAF)"
1995-10-01,3.13922990623789
1995-10-02,3.14413724337956
1995-10-03,3.14191299501004
1995-10-04,3.13961311742938
1995-10-05,3.13861682947771
1995-10-06,3.13991970014436
1995-10-07,3.13861682947771
1995-10-08,3.13593563489826
1995-10-09,3.13524645221256
1995-10-10,3.13463389709571
1995-10-11,3.13417453330609
1995-10-12,3.13471046210617
1995-10-13,3.13570591100334
1995-10-14,3.13608879053734
1995-10-15,3.13516987844373
1995-10-16,3.13440420957103
1995-10-17,3.13509330592609
1995-10-18,3.13532302723272
1995-10-19,3.13394486830041
1995-10-20,3.13386831580047
1995-10-21,3.13524645221257
1995-10-22,3.13509330592608
1995-10-23,3.13425109081003
1995-10-24,3.13417453330609
1995-10-25,3.1313428593796
1995-10-26,3.12920119243147
1995-10-27,3.1266018945053
1995-10-28,3.12629617366433
1995-10-29,3.12568487521255
1995-10-30,3.12423319449315
1995-10-31,3.12232385477152
1995-11-01,3.12041526762817
1995-11-02,3.11942306783422
1995-11-03,3.11972833760057
1995-11-04,3.11652405499177
1995-11-05,3.11416049262406
1995-11-06,3.11240770328806
1995-11-07,3.10966546652743
1995-11-08,3.10707711310499
1995-11-09,3.10228470588326
1995-11-10,3.09749745315103
1995-11-11,3.09514378672126
1995-11-12,3.09188099367714
1995-11-13,3.0893027628736
1995-11-14,3.08642283581295
1995-11-15,3.08558954955129
1995-11-16,3.08399906108284
1995-11-17,3.08240916174422
1995-11-18,3.07923091865952
1995-11-19,3.07590379332436
1995-11-20,3.07295674169381
1995-11-21,3.07137063363314
1995-11-22,3.06986069878854
1995-11-23,3.06691751023547
1995-11-24,3.06435325951585
1995-11-25,3.06126287254191
1995-11-26,3.0575723456799
1995-11-27,3.0546369733585
1995-11-28,3.05260609518532
1995-11-29,3.04959907861553
1995-11-30,3.04584307577463
1995-12-01,3.04419125222293
1995-12-02,3.04299058810073
1995-12-03,3.04088983407677
1995-12-04,3.04096482712216
1995-12-05,3.04224018988071
1995-12-06,3.04306563812915
1995-12-07,3.04276544553474
1995-12-08,3.04156497532799
1995-12-09,3.04043983290167
1995-12-10,3.04179003343787
1995-12-11,3.05125263128668
1995-12-12,3.08240916174422
1995-12-13,3.1202626077691
1995-12-14,3.14329344181971
1995-12-15,3.1750023877869
1995-12-16,3.20840263290953
1995-12-17,3.22686884627161
1995-12-18,3.23585483750277
1995-12-19,3.24023659493722
1995-12-20,3.24289896084144
1995-12-21,3.24783593906619
1995-12-22,3.25081626135363
1995-12-23,3.25238560432906
1995-12-24,3.25450499409919
1995-12-25,3.25568284569554
1995-12-26,3.25560431144701
1995-12-27,3.25513315196875
1995-12-28,3.25395542969316
1995-12-29,3.25583990704838
1995-12-30,3.25953234971796
1995-12-31,3.26330637948816
1996-01-01,3.26731939753804
1996-01-02,3.27078432034416
1996-01-03,3.27338461542254
1996-01-04,3.27440934675045
1996-01-05,3.27535539315927
1996-01-06,3.27630167260799
1996-01-07,3.27693263884204
1996-01-08,3.27811590708822
1996-01-09,3.28040439859051
1996-01-10,3.28474752376416
1996-01-11,3.28925258441251
1996-01-12,3.29439502679788
1996-01-13,3.30017668252168
1996-01-14,3.30318898843921
1996-01-15,3.30659988693237
1996-01-16,3.31811899719009
1996-01-17,3.33939988467481
1996-01-18,3.36221535221201
1996-01-19,3.37748307216904
1996-01-20,3.39376509487561
1996-01-21,3.41577122958257
1996-01-22,3.43502141634565
1996-01-23,3.449362525315
1996-01-24,3.46529831167532
1996-01-25,3.4848972027119
1996-01-26,3.50242692221828
1996-01-27,3.51803128324497
1996-01-28,3.52299485423887
1996-01-29,3.52390535492412
1996-01-30,3.51951985828656
1996-01-31,3.51579921821773
1996-02-01,3.51679112896714
1996-02-02,3.52324315685331
1996-02-03,3.53277033117521
1996-02-04,3.55753889924852
1996-02-05,3.6211495205635
1996-02-06,3.69285327817988
1996-02-07,3.7408859610857
1996-02-08,3.78003987549978
1996-02-09,3.80995114835826
1996-02-10,3.83914030110794
1996-02-11,3.84782007339923
1996-02-12,3.84922406227453
1996-02-13,3.84369778295976
1996-02-14,3.8179767842064
1996-02-15,3.78524586551283
1996-02-16,3.75313061599343
1996-02-17,3.75917637782563
1996-02-18,3.80124012800181
1996-02-19,3.8557218447802
1996-02-20,3.91141808400123
1996-02-21,3.98071313178987
1996-02-22,4.02734638504316
1996-02-23,4.07706067369248
1996-02-24,4.0417305191273
1996-02-25,3.98968848470462
1996-02-26,3.9349632400063
1996-02-27,3.87120466226187
1996-02-28,3.8194609881659
1996-02-29,3.78099395610295
1996-03-01,3.7602134349053
1996-03-02,3.72952716281435
1996-03-03,3.69892051162854
1996-03-04,3.68986480687734
1996-03-05,3.69071849284437
1996-03-06,3.69678341221364
1996-03-07,3.70456636867676
1996-03-08,3.70396729648445
1996-03-09,3.70225601358538
1996-03-10,3.70045972769954
1996-03-11,3.71013223184513
1996-03-12,3.72840972117377
1996-03-13,3.74484966340278
1996-03-14,3.75390757071976
1996-03-15,3.75874432605856
1996-03-16,3.74855735587648
1996-03-17,3.76332573134715
1996-03-18,3.77501187414292
1996-03-19,3.78351001469725
1996-03-20,3.79245521171496
1996-03-21,3.80289422013325
1996-03-22,3.81274142421516
1996-03-23,3.82374109261546
1996-03-24,3.83852706270376
1996-03-25,3.85133067030521
1996-03-26,3.8618749552023
1996-03-27,3.87384780029436
1996-03-28,3.88540322698351
1996-03-29,3.89653867763246
1996-03-30,3.90689723869176
1996-03-31,3.91869399054783
1996-04-01,3.93505226273842
1996-04-02,3.95413306699644
1996-04-03,3.97192991403635
1996-04-04,3.98879036368072
1996-04-05,4.00461630854092
1996-04-06,4.02003127324816
1996-04-07,4.03367496711071
1996-04-08,4.04626063460551
1996-04-09,4.05932555453382
1996-04-10,4.07296355878642
1996-04-11,4.08480686388274
1996-04-12,4.09566733867231
1996-04-13,4.10663775570521
1996-04-14,4.1179018998735
1996-04-15,4.13184904472692
1996-04-16,4.147391407028
1996-04-17,4.16232493796745
1996-04-18,4.17590533157371
1996-04-19,4.19062603489628
1996-04-20,4.20612288500593
1996-04-21,4.22193546531892
1996-04-22,4.23694565078913
1996-04-23,4.2509607120628
1996-04-24,4.26856769299667
1996-04-25,4.28800743086743
1996-04-26,4.30373144016432
1996-04-27,4.316657948975
1996-04-28,4.32714921362721
1996-04-29,4.3364251373547
1996-04-30,4.34504971945797
1996-05-01,4.35378006552391
1996-05-02,4.35862447411532
1996-05-03,4.36299685324283
1996-05-04,4.36975094799205
1996-05-05,4.37594004500802
1996-05-06,4.38175329228099
1996-05-07,4.3869989100957
1996-05-08,4.39234396125207
1996-05-09,4.39731088992842
1996-05-10,4.40046481083485
1996-05-11,4.40132521790725
1996-05-12,4.4007516014386
1996-05-13,4.39989126488822
1996-05-14,4.397884224312
1996-05-15,4.39444492320693
1996-05-16,4.4005604063968
1996-05-17,4.4356361001634
1996-05-18,4.49487197422409
1996-05-19,4.54581469953101
1996-05-20,4.55968159632735
1996-05-21,4.56877772198282
1996-05-22,4.57572968701067
1996-05-23,4.5738686561902
1996-05-24,4.57347692036479
1996-05-25,4.57504398916919
1996-05-26,4.57298727999769
1996-05-27,4.57396659341484
1996-05-28,4.57837512160814
1996-05-29,4.57906113059574
1996-05-30,4.57435835538659
1996-05-31,4.55841099559161
1996-06-01,4.5420107993275
1996-06-02,4.53479860766918
1996-06-03,4.52798285200301
1996-06-04,4.51709096441834
1996-06-05,4.50767106015111
1996-06-06,4.49787577423704
1996-06-07,4.4882873923663
1996-06-08,4.4743635186651
1996-06-09,4.46065956570907
1996-06-10,4.44390331786041
1996-06-11,4.43189019727865
1996-06-12,4.42267797789683
1996-06-13,4.41223286390728
1996-06-14,4.40113400719386
1996-06-15,4.39053000274737
1996-06-16,4.38203931503847
1996-06-17,4.37060757086329
1996-06-18,4.36014498831376
1996-06-19,4.34666210340048
1996-06-20,4.33670929194143
1996-06-21,4.32733839289737
1996-06-22,4.31911392023409
1996-06-23,4.30674857844228
1996-06-24,4.2960061220813
1996-06-25,4.2855626550247
1996-06-26,4.27983029655849
1996-06-27,4.27325816164195
1996-06-28,4.26491139127144
1996-06-29,4.25545172903999
1996-06-30,4.24441669861095
1996-07-01,4.23022884342154
1996-07-02,4.21625720505682
1996-07-03,4.20370781225337
1996-07-04,4.19099679197648
1996-07-05,4.17914290959929
1996-07-06,4.16638686453924
1996-07-07,4.15218115926621
1996-07-08,4.13736278260724
1996-07-09,4.12413769130675
1996-07-10,4.1113974282189
1996-07-11,4.09913927471031
1996-07-12,4.08389505900376
1996-07-13,4.067868609744
1996-07-14,4.05106611095693
1996-07-15,4.03611769650881
1996-07-16,4.02310077380884
1996-07-17,4.01191338891742
1996-07-18,4.00146589166093
1996-07-19,3.99094607281466
1996-07-20,3.97721627215882
1996-07-21,3.96324863040329
1996-07-22,3.94788512311453
