$bth_SHA.csv                                                         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Seg#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1.5,0,96,99.2,110.2,182.4,129.7,220.2,225.7,188.6,327.5,424.3,332.8,605.5,321.7,281.6,222,488,572.5,451.3,473.8,274,952.4,1081.9,1303.3,1074.4,406.3,406,1407.7,899.5,631.3,1184.5,523.4,797.2,791.3,1583.2,1299,2085.7,1728.4,1827.3,2131.9,1607.4,2141.1,1809.9,1536.8,2310.5,1071.4,1084.9,1652.8,2646.6,1938.7,2328.2,2501.1,3536.5,1765.9,0
1.5,0,84.4,87.1,98.2,168.5,120.3,204.2,216.3,178.4,315.7,401.3,317.9,574.9,308.5,271.4,210.4,468.6,544.7,436.6,460.3,265.4,900.6,1057,1257.1,1036.2,395.4,397.4,1374.1,868.9,616.6,1141.8,506.9,775.9,773.7,1549.4,1283.6,2031.3,1691.6,1804.4,2094.9,1593.5,2111.9,1787.9,1519.4,2289.5,1055,1068.3,1617.5,2617.2,1905.1,2304,2475.7,3510.1,1741,0
1.5,0,73,75.2,86.4,154.8,111.1,188.4,207.1,168.4,304.1,378.5,303.2,544.5,295.5,261.4,199,449.4,517.1,422.1,447,257,849,1032.3,1211.1,998.2,384.7,389,1340.7,838.5,602.1,1099.3,490.6,754.8,756.3,1515.8,1268.4,1977.1,1655,1781.7,2058.1,1579.8,2082.9,1766.1,1502.2,2268.7,1038.8,1051.9,1582.4,2588,1871.7,2280,2450.5,3483.9,1716.3,0
1.5,0,61.8,63.5,74.9,141.4,102.1,172.8,198.1,158.7,292.9,356,288.9,514.4,282.9,251.7,187.8,430.5,489.7,408,434,249,797.7,1007.8,1165.4,960.6,374.2,381,1307.6,808.4,588,1057.2,474.5,734,739.2,1482.5,1253.6,1923.1,1618.7,1759.4,2021.6,1566.4,2054.3,1744.6,1485.4,2248.2,1023,1035.8,1547.6,2559.1,1838.6,2256.2,2425.5,3457.9,1691.8,0
1.5,0,50.8,52,63.6,128.2,93.3,157.5,189.3,149.1,281.9,333.7,274.7,484.5,270.4,242.1,176.8,411.8,462.6,394.1,421.2,241.1,746.7,983.5,1119.9,923.1,364,373.1,1274.8,778.5,574.1,1015.2,458.7,713.4,722.3,1449.4,1238.9,1869.3,1582.7,1737.3,1985.3,1553.2,2025.8,1723.3,1468.7,2227.8,1007.3,1019.9,1513,2530.5,1805.8,2232.7,2400.8,3432.2,1667.5,0
1.5,0,40.1,40.8,52.6,115.3,84.9,142.5,180.9,139.9,271.2,311.7,260.8,454.9,258.3,232.9,166.1,393.4,435.8,380.4,408.7,233.5,695.9,959.6,1074.7,885.9,354,365.5,1242.2,748.9,560.4,973.5,443.2,693.2,705.8,1416.6,1224.5,1815.9,1546.9,1715.4,1949.2,1540.3,1997.7,1702.2,1452.4,2207.8,992,1004.3,1478.7,2502.1,1773.2,2209.5,2376.3,3406.7,1643.6,0
1.5,0,0,0,43.7,104.5,78.5,129.5,174.5,132.8,262.5,291.8,249,427.3,248.2,225.8,157.5,377.1,411,368.9,398.4,228.1,647.2,937.7,1031.6,850.9,346.2,360.1,1211.7,721.3,548.9,934,429.8,675,691.3,1385.8,1212.2,1764.5,1513.2,1695.7,1915.3,1529.5,1971.7,1683.3,1438.2,2189.9,978.7,990.8,1446.5,2475.8,1742.7,2188.4,2353.9,3383.4,1621.7,0
1.5,0,0,0,32.1,91,68,112.7,160.8,124.5,245.9,271.6,233.8,405.1,234.5,214.8,149.5,357.1,390.9,355.4,381.9,217.8,610.1,900.1,995.1,812.5,333.8,347.7,1175,700.6,536,906.6,417.6,661.1,674.1,1355.7,1193.3,1703.1,1489.2,1672.9,1882.1,1510.9,1938.4,1655.4,1421.4,2163.9,963.2,976,1415.5,2450.5,1711.3,2156.4,2321.6,3359.5,1601.6,0
1.5,0,0,0,20.3,77.4,56.1,94.7,143,117.4,224.7,253.5,217.9,389.6,219.9,202.5,144.3,336.1,377.1,342.4,362.4,205.7,585.3,851,966.6,773.4,319.7,331.7,1135.1,688,524.1,892.1,408.8,653.3,657,1328.3,1170.7,1635.1,1475.8,1649.7,1851.8,1487.6,1901.1,1621.7,1404.7,2133.2,948,962.3,1387.8,2428.3,1681.4,2117.2,2282.8,3337.3,1585.3,0
1.5,0,0,0,8.9,64.2,44.5,76.9,125.6,110.7,203.7,235.6,202.2,374.5,205.7,190.6,139.3,315.5,363.5,329.7,343.2,193.9,560.8,802.1,938.5,734.7,305.9,315.9,1095.5,675.6,512.5,878,400.3,645.8,640.1,1301.3,1148.4,1567.5,1462.8,1626.9,1821.8,1464.5,1864,1588.4,1388.4,2102.9,933.1,948.8,1360.3,2406.3,1651.7,2078.4,2244.3,3315.3,1569.3,0
