$10/1/1995-12/31/2016 SHA outflow (historical),,,,,
,,,,,
JDAY,QOUT,QOUT,QOUT,QOUT,QOUT
16846,0.0,0.0,859.6,0.0,0.0
16847,0.0,0.0,838.4,0.0,0.0
16848,0.0,0.0,678.8,0.0,0.0
16849,0.0,0.0,690.8,0.0,0.0
16850,0.0,0.0,770.7,0.0,0.0
16851,0.0,0.0,882.4,0.0,0.0
16852,0.0,0.0,854.7,0.0,0.0
16853,0.0,0.0,935.0,0.0,0.0
16854,0.0,0.0,395.7,0.0,0.0
16855,0.0,0.0,1405.6,0.0,0.0
16856,0.0,0.0,1475.6,0.0,0.0
16857,0.0,0.0,1424.3,0.0,0.0
16858,0.0,0.0,1476.3,0.0,0.0
16859,0.0,0.0,1299.3,0.0,0.0
16860,0.0,0.0,1187.1,0.0,0.0
16861,0.0,0.0,928.2,0.0,0.0
16862,0.0,0.0,989.0,0.0,0.0
16863,0.0,0.0,963.9,0.0,0.0
16864,0.0,0.0,849.1,0.0,0.0
16865,0.0,0.0,880.3,0.0,0.0
16866,0.0,0.0,720.9,0.0,0.0
16867,0.0,0.0,576.2,0.0,0.0
16868,0.0,0.0,608.1,0.0,0.0
16869,0.0,0.0,580.0,0.0,0.0
16870,0.0,0.0,581.9,0.0,0.0
16871,0.0,0.0,491.6,0.0,0.0
16872,0.0,0.0,419.0,0.0,0.0
16873,0.0,0.0,388.1,0.0,0.0
16874,0.0,0.0,445.3,0.0,0.0
16875,0.0,0.0,450.1,0.0,0.0
16876,0.0,0.0,393.4,0.0,0.0
16877,0.0,0.0,3.3,0.0,0.0
16878,0.0,0.0,244.4,0.0,0.0
16879,0.0,0.0,273.9,0.0,0.0
16880,0.0,0.0,268.0,0.0,0.0
16881,0.0,0.0,215.9,0.0,0.0
16882,0.0,0.0,191.6,0.0,0.0
16883,0.0,0.0,184.1,0.0,0.0
16884,0.0,0.0,144.8,0.0,0.0
16885,0.0,0.0,145.9,0.0,0.0
16886,0.0,0.0,140.8,0.0,0.0
