 JDAY =    18377.9999002341     
QIN(JB):,220.519379,10.639970,49.489861,77.489783,.000000,
QTR:,.000000,.000000,.000000,.000000,
QDT(JB):,.000000,.000000,.000000,.000000,.000000,
QWD:,
QSUM(JB):,214.400000,.000000,.000000,.000000,.000000,
QGT:,
QPI:,
QPU:,
QSP:,

SEG,BRANCH,ACTIVE,KT,WSE,SZ,Z,Q,QC,QERR,H2KT,H1KT,BHR1,BHR2,T1,T2,SUKT,UKT,AVHR,SELWS
34,3,A,7,328.414117,.145893,.145883,-164.886502,-164.887387,-.000537,1.354107,1.354117,594.380500,594.376217,14.907972,14.907972,-.039996,-.039999,1.357343,328.414107
35,3,A,7,328.420705,.139305,.139295,-289.131259,-289.131913,-.000226,1.360695,1.360705,1150.712624,1150.703600,14.900731,14.900731,-.032077,-.032079,1.363135,328.420695
36,3,A,7,328.425466,.134545,.134534,-575.794064,-575.795080,-.000177,1.365455,1.365466,1469.307667,1469.295499,14.782285,14.782285,-.034486,-.034488,1.368434,328.425455
37,3,A,7,328.431293,.128719,.128707,-831.616986,-831.619564,-.000310,1.371281,1.371293,1568.022821,1568.008716,14.644244,14.644244,-.040812,-.040815,1.374548,328.431281
38,3,A,7,328.438381,.121632,.121619,-1266.836380,-1266.832509,.000306,1.378368,1.378381,1843.190118,1843.172104,14.538600,14.538600,-.040817,-.040820,1.382516,328.438368
39,3,A,7,328.445449,.114565,.114551,-1609.521543,-1609.525507,-.000246,1.385435,1.385449,2188.501120,2188.478391,14.378244,14.378244,-.034901,-.034903,1.388078,328.445435
40,3,A,7,328.451105,.108910,.108895,-2182.108876,-2182.110314,-.000066,1.391090,1.391105,2407.218902,2407.193275,14.199801,14.199801,-.041506,-.041509,1.394671,328.451090
41,3,A,7,328.458922,.101093,.101078,-2781.218183,-2774.898204,.227238,1.398907,1.398922,1920.369173,1914.824807,14.083296,14.083296,-.058050,-.060517,.671488,328.458907
42,3,A,7,327.004055,.087671,1.555945,.000000,.000000,.000000,1.412329,-.055945,1615.752748,1604.687689,14.007220,14.007220,.000000,.000000,-.055945,328.472329
43,4,I,7,309.000000,.167192,.167185,77.489783,77.489783,.000000,1.332808,1.332815,176.331368,176.330483,10.289889,10.289889,.068708,.068737,1.332815,309.000000
44,4,A,7,328.392815,.167192,.167185,39.888696,39.903800,-.037864,1.332808,1.332815,296.441801,296.440092,10.047258,10.047258,.020450,.020454,1.338695,328.392808
45,4,A,7,328.401900,.158108,.158100,-10.062812,-10.062849,-.000374,1.341892,1.341900,427.970779,427.968082,10.349285,10.349285,-.007970,-.007972,1.346531,328.401892
46,4,A,7,328.411042,.148967,.148958,-82.764412,-82.765228,-.000986,1.351033,1.351042,719.384778,719.379832,14.449426,14.449426,-.036015,-.036016,1.353575,328.411033
47,4,A,7,328.416121,.143888,.143879,-234.217953,-234.220125,-.000927,1.356112,1.356121,810.860379,810.854382,14.984557,14.984557,-.041663,-.041666,1.359796,328.416112
48,4,A,7,328.421546,.138464,.138454,-295.491109,-295.492110,-.000339,1.361536,1.361546,720.848159,720.842526,14.932839,14.932839,-.048211,-.048214,1.363693,328.421536
49,4,A,7,328.427271,.132740,.132729,-395.678684,-395.682437,-.000949,1.367260,1.367271,1277.316501,1277.305591,14.870306,14.870306,-.035350,-.035353,1.369400,328.427260
50,4,A,7,328.431903,.128109,.128097,-759.445268,-759.448253,-.000393,1.371891,1.371903,1797.721837,1797.705674,14.703296,14.703296,-.040065,-.040068,1.375138,328.431891
51,4,A,7,328.437926,.122086,.122074,-1038.065642,-1038.067625,-.000191,1.377914,1.377926,1431.000644,1430.986784,14.487271,14.487271,-.051254,-.051258,1.382403,328.437914
52,4,A,7,328.447410,.112604,.112590,-1288.506666,-1288.514131,-.000579,1.387396,1.387410,1877.865500,1877.845479,14.469061,14.469061,-.033600,-.033602,1.390338,328.447396
53,4,A,7,328.453634,.106381,.106366,-1948.312885,-1948.315094,-.000113,1.393619,1.393634,2904.896940,2904.864428,14.552355,14.552355,-.032164,-.032167,1.396672,328.453619
54,4,A,7,328.459425,.100591,.100575,-2695.677968,-2695.683898,-.000220,1.399409,1.399425,3234.548803,3234.510728,14.489459,14.489459,-.035288,-.035290,1.402623,328.459409
55,4,A,7,328.466214,.093803,.093786,-3641.352745,-3641.335341,.000478,1.406197,1.406214,3680.668872,3680.629538,14.247836,14.247836,-.033879,-.033882,1.409916,328.466197
56,4,A,7,328.471900,.088114,.088100,-4127.049359,-4126.114181,.022660,1.411886,1.411900,2490.794021,3632.997647,14.128472,14.128472,-.037193,-.053523,.938687,328.471886
57,4,A,7,327.525473,.083586,1.034527,.000000,.000000,.000000,1.416414,.465473,1118.205393,3402.651365,14.091998,14.091998,.000000,.000000,.465473,328.476414
58,5,I,7,309.000000,.106837,.106822,.000000,.000000,.000000,1.393163,1.393178,190.865382,190.863326,10.289889,10.289889,.000000,.000000,1.393178,309.000000
59,5,A,7,328.453178,.106837,.106822,-62.424686,-62.424087,.000960,1.393163,1.393178,296.114668,296.111239,14.883820,14.883820,-.042148,-.042151,1.399760,328.453163
60,5,A,7,328.463660,.096356,.096340,-138.806980,-138.808029,-.000755,1.403644,1.403660,566.508783,566.501913,14.637341,14.637341,-.028924,-.028926,1.405645,328.463644
61,5,A,7,328.467955,.092062,.092045,-346.942697,-346.944089,-.000401,1.407938,1.407955,1180.510519,1180.496049,14.415084,14.415084,-.019778,-.019779,1.409211,328.467938
62,5,A,7,328.470570,.089447,.089430,-786.575216,-786.554899,.002583,1.410553,1.410570,2336.297071,2612.852075,14.335760,14.335760,-.017813,-.019826,1.304361,328.470553
63,5,A,7,328.258152,.087357,.301848,.000000,.000000,.000000,1.412643,1.198152,3089.793762,3642.923152,14.205649,14.205649,.000000,.000000,1.198152,328.472643
