$2/1/1990-8/29/2024 Sacramento River (proportional estimate),
,
JDAY,QIN
15093,28.83
15094,44.28
15095,32.19
15096,34.56
15097,38.85
15098,33.48
15099,25.39
15100,25.79
15101,43.87
15102,40.96
15103,36.24
15104,29.04
15105,38.98
15106,27.8
15107,21.91
15108,36.95
15109,26.55
15110,21.68
15111,19.77
15112,53.89
15113,24.75
15114,31.99
15115,39.38
15116,37.55
15117,46.73
15118,44.95
15119,28.83
15120,42.64
15121,45.0
15122,36.19
15123,32.55
15124,44.29
15125,32.96
15126,11.75
15127,36.13
15128,28.9
15129,30.11
15130,19.2
15131,22.55
15132,26.59
15133,24.31
15134,20.32
15135,21.1
15136,29.63
15137,17.18
15138,18.3
15139,21.86
15140,23.64
15141,17.09
15142,18.05
15143,20.07
15144,23.81
15145,18.68
15146,21.01
15147,21.35
15148,18.49
15149,7.44
15150,17.4
15151,36.2
15152,15.6
15153,19.93
15154,20.32
15155,20.37
15156,22.12
15157,19.56
15158,17.36
15159,21.86
15160,17.66
15161,19.8
15162,24.9
15163,18.08
15164,12.42
15165,24.4
15166,15.34
15167,3.12
15168,15.33
15169,16.52
15170,28.04
15171,30.47
15172,3.41
15173,27.82
15174,13.42
15175,11.38
15176,20.82
15177,28.67
15178,16.24
15179,8.53
15180,21.66
15181,16.66
15182,14.52
15183,24.29
15184,18.7
15185,22.25
15186,6.87
15187,16.21
15188,5.69
15189,33.91
15190,9.74
15191,8.65
15192,29.62
15193,19.24
15194,12.24
15195,18.03
15196,14.31
15197,17.5
15198,18.94
15199,13.03
15200,9.88
15201,13.6
15202,19.88
15203,23.23
15204,17.46
15205,17.51
15206,17.43
15207,18.05
15208,15.96
15209,16.15
15210,15.39
15211,19.6
15212,17.49
15213,14.26
15214,15.12
15215,18.46
15216,7.59
15217,24.56
15218,19.0
15219,17.2
15220,14.57
15221,18.24
15222,19.58
15223,11.82
15224,26.62
15225,4.45
15226,20.12
15227,23.08
15228,6.83
15229,19.6
15230,16.63
15231,11.73
15232,29.49
15233,12.41
15234,21.25
15235,11.01
15236,21.87
15237,13.07
15238,31.35
15239,1.31
15240,17.47
15241,10.94
15242,32.68
15243,13.8
15244,14.57
15245,18.47
15246,17.01
15247,10.05
15248,23.1
15249,23.32
15250,20.65
15251,11.49
15252,19.1
15253,8.48
15254,17.24
15255,24.03
15256,13.03
15257,19.1
15258,20.0
15259,14.18
15260,22.14
15261,11.46
15262,26.59
15263,7.04
15264,24.85
15265,8.21
15266,16.78
15267,22.38
15268,17.76
15269,17.38
15270,11.14
15271,17.55
15272,20.06
15273,24.56
15274,16.2
15275,14.21
15276,26.92
15277,23.77
15278,12.58
15279,19.56
15280,0.97
15281,11.54
15282,21.08
15283,31.34
15284,12.47
15285,23.08
15286,4.39
15287,22.13
15288,10.86
15289,20.86
15290,23.84
15291,20.78
15292,5.31
15293,24.28
15294,22.79
15295,5.3
15296,27.34
15297,28.99
15298,18.3
15299,24.39
15300,16.57
15301,18.55
15302,20.32
15303,20.76
15304,21.14
15305,19.09
15306,15.7
15307,20.49
15308,11.08
15309,26.59
15310,17.11
15311,22.88
15312,17.25
15313,23.13
15314,14.39
15315,26.52
15316,8.19
15317,27.89
15318,25.6
15319,13.66
15320,19.07
15321,18.17
15322,19.36
15323,10.66
15324,12.55
15325,27.27
15326,19.64
15327,29.3
15328,12.06
15329,20.06
15330,15.01
15331,22.57
15332,26.16
15333,8.9
15334,24.67
15335,18.88
15336,15.83
15337,32.85
15338,39.95
15339,23.75
15340,23.01
15341,22.71
15342,20.41
15343,19.39
15344,37.79
15345,51.34
15346,34.99
15347,33.54
15348,27.01
15349,23.0
15350,23.2
15351,21.21
15352,22.1
15353,22.98
15354,19.69
15355,20.54
15356,20.94
15357,22.08
15358,18.14
15359,20.61
15360,18.86
15361,20.1
15362,20.11
15363,21.17
15364,16.78
15365,22.56
15366,18.75
15367,19.46
15368,25.08
15369,16.82
15370,23.34
15371,22.68
15372,12.59
15373,25.65
15374,28.71
15375,15.02
15376,32.44
15377,5.85
15378,17.5
15379,27.3
15380,30.59
15381,73.98
15382,120.24
15383,155.91
15384,126.57
15385,136.16
15386,147.02
15387,110.25
15388,88.14
15389,87.59
15390,155.49
15391,218.11
15392,147.2
15393,124.59
15394,91.83
15395,70.48
15396,62.16
15397,58.08
15398,54.89
15399,49.83
15400,47.07
15401,55.33
15402,47.34
15403,41.11
15404,58.38
15405,93.87
15406,88.11
15407,75.21
15408,61.25
15409,60.08
15410,48.39
15411,38.25
15412,54.02
15413,32.23
15414,44.9
15415,109.61
15416,155.09
15417,106.4
15418,80.14
15419,66.89
15420,57.01
15421,51.8
15422,51.09
15423,48.22
15424,42.88
15425,47.43
15426,39.09
15427,47.35
15428,50.7
15429,28.45
15430,43.45
15431,36.2
15432,47.67
15433,29.18
15434,53.46
15435,37.88
15436,42.03
15437,30.44
15438,37.29
15439,30.46
15440,36.12
15441,38.36
15442,33.04
15443,78.68
15444,70.88
15445,64.63
15446,60.69
15447,62.88
15448,82.98
15449,72.13
15450,49.25
15451,78.35
15452,33.59
15453,54.4
15454,41.17
15455,36.18
15456,45.24
15457,37.03
15458,36.85
15459,48.21
15460,36.24
15461,36.86
15462,35.73
15463,34.83
15464,30.55
15465,47.22
15466,33.52
15467,33.61
15468,31.43
15469,33.74
15470,35.52
15471,29.32
15472,40.95
15473,20.35
15474,29.88
15475,32.49
15476,26.43
15477,30.79
15478,16.38
15479,35.13
15480,21.6
15481,29.45
