$1995 Shasta Reservoir branch 1 inflow temperature                                    ,
,
JDAY,TIN
1,6.82
2,6.84
3,6.75
4,6.7
5,6.69
6,6.61
7,6.55
8,6.46
9,6.41
10,6.4
11,6.38
12,6.34
13,6.31
14,6.3
15,6.32
16,6.32
17,6.33
18,6.34
19,6.35
20,6.35
21,6.35
22,6.33
23,6.31
24,6.32
25,6.33
26,6.33
27,6.33
28,6.34
29,6.35
30,6.34
31,6.33
32,6.33
33,6.37
34,6.39
35,6.42
36,6.45
37,6.47
38,6.5
39,6.53
40,6.56
41,6.59
42,6.62
43,6.65
44,6.68
45,6.72
46,6.75
47,6.8
48,6.83
49,6.87
50,6.91
51,6.98
52,7.01
53,7.05
54,7.09
55,7.14
56,7.19
57,7.25
58,7.3
59,7.35
60,7.4
61,7.41
62,7.46
63,7.53
64,7.58
65,7.65
66,7.72
67,7.75
68,7.73
69,7.8
70,7.86
71,7.94
72,8
73,8.05
74,8.14
75,8.24
76,8.33
77,8.41
78,8.49
79,8.54
80,8.62
81,8.67
82,7.82
83,7.49
84,7.24
85,6.62
86,6.29
87,6.64
88,7.17
89,7.61
90,9.47
91,9.56
92,9.65
93,9.74
94,9.83
95,10.16
96,10.36
97,10.32
98,9.9
99,9.65
100,9.91
101,10.19
102,10.3
103,10.1
104,9.81
105,9.5
106,9.66
107,9.67
108,9.72
109,9.54
110,9.44
111,9.48
112,9.54
113,9.84
114,10.34
115,10.81
116,11.19
117,11.48
118,11.58
119,11.71
120,11.63
121,11.67
122,11.39
123,11.31
124,11.96
125,12.61
126,13.09
127,12.97
128,12.49
129,11.82
130,11.47
131,11.94
132,12.4
133,12.43
134,12.36
135,12.68
136,12.54
137,12.4
138,12.85
139,13.28
140,13.46
141,13.99
142,14.5
143,15
144,15.18
145,15.25
146,15.24
147,15.39
148,15.52
149,15.6
150,15.71
151,15.81
152,15.9
153,15.87
154,16.07
155,16.21
156,16.39
157,16.56
158,16.37
159,16.16
160,16.01
161,16.24
162,16.26
163,16.16
164,16.17
165,16.06
166,15.99
167,15.81
168,15.57
169,15.27
170,15.06
171,15.07
172,14.94
173,15.02
174,15.4
175,15.78
176,16.14
177,16.53
178,17.06
179,17.57
180,17.86
181,18.1
182,18.22
183,18.08
184,18.31
185,18.39
186,18.81
187,18.88
188,18.9
189,18.89
190,17.63
191,17.96
192,18.45
193,18.43
194,18.6
195,18.11
196,18.22
197,18.17
198,18.14
199,18.3
200,18.34
201,18.42
202,18.45
203,18.47
204,18.29
205,18.33
206,18.68
207,18.32
208,18.17
209,18.18
210,18.55
211,18.11
212,18.12
213,18.15
214,18.1
215,18.58
216,18.56
217,18.56
218,18.68
219,18.84
220,19.16
221,18.88
222,18.42
223,18.42
224,18.26
225,18.36
226,18.36
227,18.55
228,18.53
229,18.33
230,18.37
231,18.36
232,18.31
233,18.23
234,18.09
235,18.06
236,17.89
237,17.73
238,17.72
239,17.7
240,17.6
241,17.69
242,17.3
243,17.23
244,17.15
245,16.86
246,16.9
247,16.98
248,17.12
249,16.87
250,16.67
251,16.53
252,16.71
253,16.62
254,16.81
255,16.91
256,16.69
257,16.81
258,16.81
259,16.59
260,16.57
261,16.84
262,16.79
263,16.84
264,16.71
265,16.44
266,16.44
267,16.23
268,16.28
269,16.35
270,16.22
271,16.08
272,15.89
273,15.86
274,15.72
275,15.66
276,15.35
277,15.11
278,15.03
279,14.78
280,14.57
281,14.44
282,14.33
283,14.01
284,13.94
285,13.73
286,13.58
287,13.32
288,13.3
289,12.99
290,12.85
291,12.71
292,12.62
293,12.54
294,12.42
295,12.26
296,12.11
297,11.9
298,11.77
299,11.7
300,11.66
301,11.56
302,11.38
303,11.31
304,11.18
305,11.17
306,11.17
307,11.08
308,10.97
309,10.81
310,10.58
311,10.67
312,10.56
313,10.4
314,10.33
315,10.22
316,10.28
317,10.24
318,10.19
319,10.17
320,10.17
321,10.2
322,10.17
323,10.22
324,10.18
325,10.25
326,10.31
327,10.23
328,10.13
329,10.23
330,10.15
331,10.15
332,10.09
333,9.95
334,9.94
335,9.88
336,9.77
337,9.76
338,9.62
339,9.65
340,9.61
341,9.56
342,9.53
343,9.5
344,9.56
345,9.51
346,9.53
347,9.56
348,9.56
349,9.45
350,8.98
351,8.72
352,8.67
353,8.56
354,8.36
355,8.2
356,7.93
357,7.66
358,7.38
359,7
360,6.87
361,6.61
362,6.52
363,6.45
364,6.45
365,6.43
366,6.82
