$1995 Shasta Reservoir branch 3 inflow temperature                                    ,
,
JDAY,TIN
1,4.02
2,4.67
3,4.81
4,4.58
5,4.54
6,5.25
7,5.55
8,7.07
9,7.82
10,8.21
11,7.93
12,8.13
13,8.28
14,8.02
15,7.53
16,7.05
17,6.54
18,6.78
19,6.81
20,6.68
21,7.26
22,6.9
23,6.12
24,7.31
25,7.83
26,7.75
27,7.69
28,7.8
29,8.3
30,8.52
31,8.78
32,8.91
33,8.5
34,8.31
35,8.13
36,7.91
37,7.94
38,8.02
39,8.08
40,7.3
41,7.08
42,7.01
43,7.55
44,7.01
45,5.84
46,5.37
47,5.54
48,6.37
49,7.5
50,7.97
51,7.88
52,8
53,8.12
54,8.2
55,8.09
56,7.83
57,8.08
58,8.44
59,8.93
60,8.94
61,8.53
62,8.18
63,7.77
64,7.5
65,6.74
66,6.76
67,7.56
68,8.7
69,8.66
70,7.99
71,8.02
72,7.85
73,8.31
74,7.83
75,8.22
76,8.49
77,8.62
78,8.22
79,8.36
80,7.49
81,6.37
82,6.56
83,7.03
84,7.03
85,7.12
86,7.33
87,7.69
88,7.77
89,7.96
90,8.1
91,8.91
92,8.4
93,8.77
94,9.39
95,9.46
96,9.41
97,8.66
98,7.81
99,7.65
100,8.13
101,9.3
102,9.25
103,8.48
104,7.78
105,7.29
106,7.68
107,8.05
108,8.23
109,7.94
110,8.75
111,8.27
112,9.25
113,10.03
114,10.65
115,11.11
116,10.8
117,10.2
118,9.49
119,9.56
120,9.3
121,10.34
122,9.68
123,10.14
124,10.09
125,10.03
126,9.77
127,10.15
128,10.78
129,9.89
130,9.86
131,10.46
132,9.2
133,9.19
134,10.38
135,10.47
136,10.8
137,11.94
138,12.14
139,12.39
140,12.43
141,12.42
142,12.62
143,12.7
144,12.22
145,12.29
146,12.62
147,13.47
148,13.69
149,13.7
150,13.76
151,13.84
152,13.59
153,13.94
154,14.45
155,14.28
156,13.13
157,11.75
158,11.16
159,11.12
160,12.36
161,12.97
162,13.54
163,13.43
164,13.31
165,12.44
166,11.34
167,11.65
168,11.51
169,11.48
170,11.42
171,11.98
172,12.75
173,13.77
174,14.67
175,15.37
176,16.04
177,16.3
178,16.47
179,16.73
180,16.02
181,15.54
182,14.9
183,15.67
184,16.15
185,15.86
186,15.79
187,16.19
188,15.78
189,15.53
190,15.56
191,14.66
192,13.93
193,13.23
194,13.44
195,15.05
196,15.85
197,16.18
198,16.22
199,16.58
200,16.33
201,16.23
202,16.15
203,16.09
204,15.84
205,15.75
206,15.67
207,15.37
208,15.71
209,15.64
210,15.6
211,15.48
212,15.71
213,15.65
214,15.81
215,16.27
216,16.43
217,16.13
218,16.32
219,16.16
220,15.06
221,15.51
222,14.98
223,14.83
224,14.38
225,14.76
226,15.17
227,15.64
228,15.99
229,14.92
230,14.1
231,14.26
232,14.69
233,15.12
234,14.99
235,15.26
236,15.32
237,14.21
238,13.63
239,13.43
240,13.34
241,13.48
242,13.25
243,13.17
244,13.11
245,13.28
246,13.22
247,12.91
248,12.94
249,13.19
250,13.56
251,13.51
252,13.38
253,13.53
254,13.79
255,13.99
256,14.07
257,14.06
258,13.94
259,13.55
260,13.23
261,13.17
262,13.33
263,13.46
264,13.22
265,12.8
266,12.7
267,12.75
268,12.77
269,12.49
270,12.44
271,12.38
272,11.56
273,11.28
274,11.36
275,11.21
276,11.21
277,10.81
278,9.93
279,9.75
280,9.97
281,9.74
282,9.9
283,10.07
284,9.94
285,9.47
286,9.29
287,9.43
288,9.44
289,9.76
290,9.9
291,10.03
292,9.73
293,9.5
294,9.58
295,8.66
296,7.94
297,7.72
298,7.66
299,8.73
300,9.32
301,9.43
302,9.27
303,9.04
304,9.19
305,9.4
306,8.39
307,7.48
308,6.6
309,7.05
310,7.28
311,7.88
312,8.36
313,9.16
314,8.52
315,7.76
316,8.21
317,8.64
318,8.56
319,8.46
320,9.18
321,9.47
322,9.9
323,8.87
324,8.05
325,8.37
326,8.68
327,8.67
328,8.28
329,8.16
330,7.93
331,6.5
332,7.01
333,7.63
334,7.81
335,8.53
336,8.16
337,6.87
338,7.43
339,8.52
340,9.12
341,9.05
342,8.36
343,8.18
344,7.72
345,8.71
346,10.1
347,9.45
348,8.76
349,9.06
350,8.01
351,6.93
352,7.06
353,6.93
354,6.24
355,5.51
356,5.18
357,5.05
358,4.24
359,4.05
360,4.17
361,4.85
362,5.54
363,6.24
364,6.65
365,7.48
366,4.02
