$2/1/1990-8/29/2024 Pit River (proportional estimate),
,
JDAY,QIN
15093,82.05
15094,126.01
15095,91.59
15096,98.35
15097,110.54
15098,95.28
15099,72.25
15100,73.4
15101,124.84
15102,116.56
15103,103.13
15104,82.63
15105,110.92
15106,79.1
15107,62.35
15108,105.14
15109,75.57
15110,61.7
15111,56.25
15112,153.34
15113,70.42
15114,91.03
15115,112.07
15116,106.86
15117,132.98
15118,127.91
15119,82.05
15120,121.35
15121,128.05
15122,102.99
15123,92.63
15124,126.04
15125,93.79
15126,33.42
15127,102.82
15128,82.23
15129,85.68
15130,54.64
15131,64.16
15132,75.67
15133,69.18
15134,57.82
15135,60.03
15136,84.32
15137,48.89
15138,52.06
15139,62.21
15140,67.28
15141,48.64
15142,51.36
15143,57.1
15144,67.75
15145,53.14
15146,59.79
15147,60.76
15148,52.6
15149,21.17
15150,49.52
15151,103.01
15152,44.39
15153,56.72
15154,57.83
15155,57.96
15156,62.96
15157,55.65
15158,49.39
15159,62.19
15160,50.27
15161,56.33
15162,70.86
15163,51.45
15164,35.34
15165,69.45
15166,43.64
15167,8.89
15168,43.62
15169,47.02
15170,79.78
15171,86.71
15172,9.71
15173,79.17
15174,38.2
15175,32.39
15176,59.25
15177,81.6
15178,46.22
15179,24.29
15180,61.63
15181,47.41
15182,41.32
15183,69.11
15184,53.21
15185,63.31
15186,19.55
15187,46.13
15188,16.2
15189,96.5
15190,27.7
15191,24.6
15192,84.3
15193,54.75
15194,34.82
15195,51.31
15196,40.73
15197,49.81
15198,53.89
15199,37.07
15200,28.12
15201,38.71
15202,56.58
15203,66.12
15204,49.67
15205,49.83
15206,49.6
15207,51.36
15208,45.42
15209,45.96
15210,43.8
15211,55.78
15212,49.78
15213,40.57
15214,43.03
15215,52.53
15216,21.6
15217,69.88
15218,54.07
15219,48.94
15220,41.46
15221,51.91
15222,55.72
15223,33.63
15224,75.76
15225,12.66
15226,57.24
15227,65.68
15228,19.42
15229,55.78
15230,47.32
15231,33.39
15232,83.92
15233,35.31
15234,60.48
15235,31.33
15236,62.24
15237,37.19
15238,89.2
15239,3.73
15240,49.73
15241,31.12
15242,93.0
15243,39.26
15244,41.46
15245,52.55
15246,48.42
15247,28.59
15248,65.73
15249,66.36
15250,58.76
15251,32.69
15252,54.36
15253,24.13
15254,49.06
15255,68.38
15256,37.09
15257,54.36
15258,56.91
15259,40.36
15260,62.99
15261,32.6
15262,75.65
15263,20.03
15264,70.7
15265,23.36
15266,47.74
15267,63.67
15268,50.53
15269,49.46
15270,31.7
15271,49.95
15272,57.08
15273,69.88
15274,46.1
15275,40.45
15276,76.59
15277,67.65
15278,35.81
15279,55.67
15280,2.75
15281,32.85
15282,60.0
15283,89.18
15284,35.5
