$1995-2016 ERA5 daily-mean N40.5-41.0 W122.5-122.0,,,,,
columns wind speed [1.2,6.1], wind direction phi [0-6.3],,,
JDAY,TAIR,TDEW,WIND,PHI,CLOUD
1,18.5,2.4000000953674316,2.7100000381469727,0.05000000074505806,4.5
2,20.899999618530273,-2.799999952316284,3.1600000858306885,0.20999999344348907,0.0
3,21.899999618530273,2.299999952316284,1.0099999904632568,5.880000114440918,0.0
4,16.600000381469727,-1.0,3.299999952316284,0.0,0.0
5,17.5,-7.900000095367432,3.2100000381469727,0.47999998927116394,6.300000190734863
6,17.0,-6.599999904632568,0.27000001072883606,2.7100000381469727,4.5
7,16.799999237060547,-1.2999999523162842,0.9200000166893005,0.44999998807907104,2.299999952316284
8,17.100000381469727,-1.5,0.09000000357627869,2.5799999237060547,2.4000000953674316
9,16.799999237060547,-0.800000011920929,0.20999999344348907,5.179999828338623,3.799999952316284
10,18.600000381469727,1.600000023841858,0.47999998927116394,2.680000066757202,0.0
11,19.700000762939453,3.0999999046325684,2.109999895095825,3.190000057220459,2.5999999046325684
12,12.399999618530273,3.9000000953674316,2.4700000286102295,6.110000133514404,4.599999904632568
13,16.200000762939453,-4.699999809265137,3.9000000953674316,0.28999999165534973,0.0
14,19.200000762939453,-4.400000095367432,2.299999952316284,0.4699999988079071,0.0
15,19.600000381469727,-2.5,0.23999999463558197,1.4500000476837158,0.699999988079071
16,18.600000381469727,6.199999809265137,1.340000033378601,3.0899999141693115,6.400000095367432
17,17.5,1.399999976158142,1.0099999904632568,6.170000076293945,0.699999988079071
18,19.299999237060547,2.5999999046325684,0.8799999952316284,0.3100000023841858,0.10000000149011612
19,19.0,-6.5,2.819999933242798,0.38999998569488525,0.0
20,17.700000762939453,-1.100000023841858,0.10999999940395355,0.30000001192092896,7.599999904632568
21,17.200000762939453,1.2000000476837158,1.059999942779541,6.130000114440918,1.2999999523162842
22,11.5,-6.199999809265137,3.700000047683716,0.10999999940395355,0.4000000059604645
23,12.800000190734863,-9.699999809265137,2.069999933242798,0.5899999737739563,6.900000095367432
24,12.300000190734863,-9.100000381469727,0.25,2.5299999713897705,2.5999999046325684
25,12.600000381469727,-5.400000095367432,0.41999998688697815,2.5799999237060547,2.700000047683716
