$10/1/1950-9/30/2023  ERA5 daily-mean N40.5-41.0 W122.5-122.0,,,,,
columns wind speed [1.2,6.1], wind direction phi [0-6.3],,,
JDAY,TAIR,TDEW,WIND,PHI,CLOUD
1987-07-20 00:00:00,18.799999237060547,1.5,0.27000001072883606,2.190000057220459,4.599999904632568
1987-07-21 00:00:00,19.899999618530273,4.699999809265137,1.5499999523162842,2.990000009536743,6.199999809265137
1987-07-22 00:00:00,16.700000762939453,4.5,1.2300000190734863,2.9100000858306885,2.5999999046325684
1987-07-23 00:00:00,19.200000762939453,5.599999904632568,0.07999999821186066,0.49000000953674316,2.9000000953674316
1987-07-24 00:00:00,20.799999237060547,3.5,0.699999988079071,2.7699999809265137,1.600000023841858
1987-07-25 00:00:00,22.700000762939453,2.5999999046325684,1.1799999475479126,3.0799999237060547,0.6000000238418579
1987-07-26 00:00:00,21.799999237060547,3.9000000953674316,0.8799999952316284,2.759999990463257,0.10000000149011612
1987-07-27 00:00:00,22.0,1.7000000476837158,1.159999966621399,2.9000000953674316,0.10000000149011612
1987-07-28 00:00:00,22.299999237060547,2.700000047683716,0.9700000286102295,2.9200000762939453,0.699999988079071
1987-07-29 00:00:00,23.700000762939453,2.700000047683716,1.2200000286102295,3.200000047683716,2.0999999046325684
1987-07-30 00:00:00,22.899999618530273,4.099999904632568,1.100000023841858,3.4200000762939453,0.0
1987-07-31 00:00:00,23.700000762939453,2.299999952316284,0.5699999928474426,6.159999847412109,0.0
1987-08-01 00:00:00,26.700000762939453,1.399999976158142,0.8799999952316284,6.260000228881836,0.30000001192092896
1987-08-02 00:00:00,26.700000762939453,-0.10000000149011612,0.49000000953674316,0.7099999785423279,0.0
1987-08-03 00:00:00,28.700000762939453,1.100000023841858,0.3100000023841858,0.4000000059604645,0.0
1987-08-04 00:00:00,29.5,4.599999904632568,0.4300000071525574,3.299999952316284,0.0
1987-08-05 00:00:00,29.200000762939453,4.0,0.25,1.4600000381469727,0.0
1987-08-06 00:00:00,29.700000762939453,1.2999999523162842,0.3199999928474426,0.029999999329447746,0.0
