$2/1/1990-8/30/2024  ERA5 daily-mean N40.5-41.0 W122.5-122.0,,,,,
columns wind speed [1.2,6.1], wind direction phi [0-6.3],,,
JDAY,TAIR,TDEW,WIND,PHI,CLOUD
1990-02-01 00:00:00,1.899999976158142,0.10000000149011612,2.430000066757202,3.2200000286102295,9.5
1990-02-02 00:00:00,2.200000047683716,-0.5,0.11999999731779099,5.429999828338623,6.0
1990-02-03 00:00:00,5.400000095367432,1.7999999523162842,1.4700000286102295,2.9000000953674316,10.0
1990-02-04 00:00:00,1.600000023841858,-0.5,0.8100000023841858,4.269999980926514,5.0
1990-02-05 00:00:00,1.600000023841858,-4.199999809265137,0.8600000143051147,0.28999999165534973,7.0
1990-02-06 00:00:00,3.0999999046325684,-0.10000000149011612,1.3899999856948853,3.930000066757202,7.400000095367432
1990-02-07 00:00:00,0.5,-5.900000095367432,0.7300000190734863,4.679999828338623,2.0
1990-02-08 00:00:00,3.5999999046325684,-2.0,1.9500000476837158,3.190000057220459,9.600000381469727
1990-02-09 00:00:00,5.400000095367432,2.5,0.699999988079071,3.049999952316284,9.199999809265137
1990-02-10 00:00:00,6.400000095367432,2.5,0.7200000286102295,0.03999999910593033,6.099999904632568
1990-02-11 00:00:00,7.599999904632568,0.8999999761581421,1.4199999570846558,0.25999999046325684,4.699999809265137
1990-02-12 00:00:00,6.5,-0.8999999761581421,1.649999976158142,5.929999828338623,5.400000095367432
1990-02-13 00:00:00,2.299999952316284,-6.900000095367432,2.109999895095825,4.75,2.4000000953674316
1990-02-14 00:00:00,-1.600000023841858,-11.0,3.319999933242798,6.139999866485596,1.399999976158142
1990-02-15 00:00:00,-0.30000001192092896,-10.100000381469727,1.25,6.130000114440918,5.0
1990-02-16 00:00:00,1.7000000476837158,-1.600000023841858,3.809999942779541,3.0799999237060547,9.300000190734863
1990-02-17 00:00:00,-0.20000000298023224,-1.899999976158142,0.8100000023841858,3.299999952316284,8.199999809265137
1990-02-18 00:00:00,-1.0,-4.099999904632568,0.949999988079071,0.05999999865889549,4.300000190734863
1990-02-19 00:00:00,0.0,-6.300000190734863,2.3499999046325684,0.4099999964237213,0.10000000149011612
1990-02-20 00:00:00,1.7000000476837158,-5.5,1.149999976158142,0.550000011920929,7.5
1990-02-21 00:00:00,5.800000190734863,0.4000000059604645,1.4600000381469727,0.15000000596046448,5.5
1990-02-22 00:00:00,8.5,1.399999976158142,2.25,0.36000001430511475,0.0
1990-02-23 00:00:00,9.399999618530273,1.399999976158142,1.3899999856948853,0.4699999988079071,3.5
1990-02-24 00:00:00,11.0,2.9000000953674316,1.4800000190734863,0.20999999344348907,9.300000190734863
1990-02-25 00:00:00,10.800000190734863,2.5999999046325684,1.5700000524520874,0.28999999165534973,7.400000095367432
1990-02-26 00:00:00,10.899999618530273,2.5999999046325684,1.2699999809265137,0.25,3.700000047683716
1990-02-27 00:00:00,11.600000381469727,3.0,1.590000033378601,0.36000001430511475,1.100000023841858
1990-02-28 00:00:00,11.699999809265137,3.4000000953674316,0.9800000190734863,0.5099999904632568,0.0
1990-03-01 00:00:00,12.199999809265137,5.800000190734863,0.18000000715255737,3.0299999713897705,9.100000381469727
1990-03-02 00:00:00,10.699999809265137,8.0,1.1299999952316284,2.7899999618530273,9.899999618530273
1990-03-03 00:00:00,9.0,7.599999904632568,2.9600000381469727,3.0799999237060547,9.300000190734863
1990-03-04 00:00:00,8.5,6.0,1.340000033378601,3.0199999809265137,8.699999809265137
1990-03-05 00:00:00,5.300000190734863,2.5,1.1699999570846558,5.579999923706055,6.699999809265137
1990-03-06 00:00:00,8.600000381469727,0.30000001192092896,1.8899999856948853,6.25,4.900000095367432
1990-03-07 00:00:00,10.0,2.0999999046325684,0.38999998569488525,1.1200000047683716,8.199999809265137
1990-03-08 00:00:00,8.100000381469727,3.799999952316284,1.5,3.4700000286102295,8.800000190734863
1990-03-09 00:00:00,6.199999809265137,-1.399999976158142,1.2300000190734863,6.190000057220459,2.9000000953674316
1990-03-10 00:00:00,8.899999618530273,3.0,2.740000009536743,3.319999933242798,9.5
1990-03-11 00:00:00,4.400000095367432,-2.700000047683716,1.3799999952316284,4.829999923706055,6.5
1990-03-12 00:00:00,3.0999999046325684,-2.700000047683716,1.0099999904632568,5.230000019073486,6.699999809265137
1990-03-13 00:00:00,3.5999999046325684,-4.800000190734863,1.2599999904632568,6.260000228881836,4.699999809265137
1990-03-14 00:00:00,7.0,-0.4000000059604645,0.6600000262260437,2.8299999237060547,9.699999809265137
1990-03-15 00:00:00,7.900000095367432,2.700000047683716,0.8100000023841858,0.1899999976158142,7.199999809265137
1990-03-16 00:00:00,11.399999618530273,1.2999999523162842,1.809999942779541,0.550000011920929,9.800000190734863
1990-03-17 00:00:00,13.0,6.400000095367432,0.27000001072883606,1.7100000381469727,7.400000095367432
1990-03-18 00:00:00,12.5,5.699999809265137,0.30000001192092896,0.20000000298023224,5.199999809265137
1990-03-19 00:00:00,13.699999809265137,6.400000095367432,0.3700000047683716,2.7899999618530273,6.599999904632568
1990-03-20 00:00:00,12.800000190734863,5.599999904632568,0.10000000149011612,0.9200000166893005,2.4000000953674316
1990-03-21 00:00:00,14.800000190734863,5.699999809265137,0.4099999964237213,6.269999980926514,7.0
1990-03-22 00:00:00,14.600000381469727,6.5,0.3400000035762787,4.46999979019165,8.699999809265137
1990-03-23 00:00:00,14.0,6.300000190734863,0.8600000143051147,6.050000190734863,5.599999904632568
1990-03-24 00:00:00,14.100000381469727,1.7000000476837158,2.0299999713897705,0.25999999046325684,1.5
